Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
1,ARI,2020-07-24,@,SDP,L 2-7,33,32,2,7,5,1,0,1,2,0,0,1,7,.219,.242,.344,.586,11,2,0,0,0,0
2,ARI,2020-07-25,@,SDP,L 1-5,33,32,1,5,2,3,0,0,1,0,1,1,11,.156,.182,.250,.432,8,0,0,0,0,0
3,ARI,2020-07-26,@,SDP,W 4-3,39,31,4,7,6,1,0,0,3,0,1,7,11,.226,.359,.258,.617,8,1,0,0,1,0
4,ARI,2020-07-27,@,SDP,L 2-6,37,33,2,6,5,1,0,0,2,0,0,3,6,.182,.270,.212,.482,7,1,1,0,0,0
5,ARI,2020-07-28,@,TEX,W 4-1,40,34,4,8,6,2,0,0,2,1,0,5,7,.235,.350,.294,.644,10,2,1,0,0,0
6,ARI,2020-07-29,@,TEX,L 4-7,36,31,4,6,4,1,1,0,4,0,0,2,12,.194,.250,.290,.540,9,0,1,0,2,0
7,ARI,2020-07-30,,LAD,L 3-6,36,32,3,5,2,2,0,1,3,0,0,3,4,.156,.250,.313,.563,10,0,1,0,0,0
8,ARI,2020-07-31,,LAD,W 5-3,36,30,5,8,5,3,0,0,5,0,0,5,3,.267,.389,.367,.756,11,2,1,0,0,1
9,ARI,2020-08-01,,LAD,L 2-11,32,31,2,5,4,1,0,0,2,0,0,1,9,.161,.188,.194,.381,6,1,0,0,0,0
10,ARI,2020-08-02,,LAD,L 0-3,32,31,0,4,4,0,0,0,0,1,0,0,12,.129,.156,.129,.285,4,0,1,0,0,0
11,ARI,2020-08-04,,HOU,L 2-8,38,33,2,7,5,2,0,0,2,0,0,5,3,.212,.316,.273,.589,9,1,0,0,0,0
12,ARI,2020-08-05,,HOU,W 14-7,44,39,14,16,6,5,1,4,14,0,1,4,2,.410,.477,.897,1.375,35,0,1,0,0,0
13,ARI,2020-08-06,,HOU,W 5-4,38,33,5,11,7,4,0,0,5,0,0,5,3,.333,.421,.455,.876,15,2,0,0,0,0
14,ARI,2020-08-07,@,SDP,L 0-3,32,31,0,4,4,0,0,0,0,0,0,1,11,.129,.156,.129,.285,4,0,0,0,0,0
15,ARI,2020-08-08,@,SDP,W 3-2,35,31,3,5,2,1,0,2,3,0,0,2,9,.161,.229,.387,.616,12,1,1,0,1,0
16,ARI,2020-08-09,@,SDP,L 5-9,37,32,5,5,1,1,0,3,5,0,0,4,15,.156,.270,.469,.739,15,0,1,0,0,0
17,ARI,2020-08-10,@,COL,W 12-8,48,45,12,18,13,4,0,1,11,2,0,2,10,.400,.438,.556,.993,25,0,1,0,0,0
18,ARI,2020-08-11,@,COL,L 7-8,43,39,7,13,8,3,0,2,7,0,0,3,4,.333,.395,.564,.959,22,1,1,0,0,0
19,ARI,2020-08-12,@,COL,W 13-7,46,44,13,18,13,4,0,1,12,0,0,2,4,.409,.435,.568,1.003,25,2,0,0,0,0
20,ARI,2020-08-14,,SDP,W 5-1,35,32,5,8,6,1,0,1,5,0,0,2,11,.250,.286,.375,.661,12,0,0,0,1,1
21,ARI,2020-08-15,,SDP,W 7-6,41,37,7,14,11,3,0,0,7,1,0,3,8,.378,.439,.459,.898,17,0,1,0,0,1
22,ARI,2020-08-16,,SDP,W 5-4,34,31,5,8,6,0,0,2,5,1,0,3,4,.258,.324,.452,.775,14,1,0,0,0,0
23,ARI,2020-08-17,,OAK,W 4-3,40,35,4,10,6,3,0,1,4,2,0,4,5,.286,.375,.457,.832,16,1,1,0,0,1
24,ARI,2020-08-18,,OAK,W 10-1,41,33,10,11,6,3,0,2,9,0,0,6,8,.333,.439,.606,1.045,20,1,1,0,1,0
25,ARI,2020-08-19,@,OAK,L 1-4,34,30,1,6,6,0,0,0,1,1,0,2,10,.200,.265,.200,.465,6,2,1,0,1,0
26,ARI,2020-08-20,@,OAK,L 1-5,34,32,1,6,4,1,0,1,1,0,0,2,8,.188,.235,.313,.548,10,1,0,0,0,0
27,ARI,2020-08-21,@,SFG,L 2-6,33,33,2,7,4,3,0,0,2,0,0,0,10,.212,.212,.303,.515,10,1,0,0,0,0
28,ARI,2020-08-22,@,SFG,L 1-5,32,31,1,3,1,2,0,0,1,1,0,0,4,.097,.125,.161,.286,5,0,1,0,0,0
29,ARI,2020-08-23,@,SFG,L 1-6,36,31,1,5,4,1,0,0,1,1,0,3,10,.161,.250,.194,.444,6,1,1,0,1,0
30,ARI,2020-08-24,,COL,L 2-3,35,31,2,6,4,0,0,2,2,0,0,3,5,.194,.286,.387,.673,12,0,1,0,0,0
31,ARI,2020-08-25,,COL,L 4-5,43,35,4,9,3,4,0,2,4,0,0,6,10,.257,.372,.543,.915,19,0,1,0,1,0
32,ARI,2020-08-26,,COL,L 7-8,43,35,7,9,6,2,1,0,7,1,0,6,6,.257,.372,.371,.744,13,0,1,0,1,1
33,ARI,2020-08-28,,SFG,W 7-4,37,30,7,9,6,3,0,0,6,0,0,4,6,.300,.405,.400,.805,12,1,2,0,1,0
34,ARI,2020-08-29,,SFG,L 2-5,33,29,2,3,1,0,1,1,2,0,0,3,7,.103,.212,.276,.488,8,1,1,0,0,0
35,ARI,2020-08-30,,SFG,L 1-4,32,29,1,3,2,0,0,1,1,0,1,3,7,.103,.188,.207,.394,6,0,0,0,0,0
36,ARI,2020-09-01,@,LAD,L 3-6,35,32,3,5,3,0,0,2,3,0,0,2,9,.156,.229,.344,.572,11,0,1,0,0,0
37,ARI,2020-09-02,@,LAD,L 2-3 (10),41,36,2,5,3,1,0,1,2,0,0,4,9,.139,.244,.250,.494,9,0,1,0,0,0
38,ARI,2020-09-03,@,LAD,L 1-5,36,31,1,4,3,1,0,0,1,0,0,3,11,.129,.250,.161,.411,5,0,2,0,0,0
39,ARI,2020-09-04,@,SFG,W 6-5,41,37,6,12,7,4,0,1,6,0,0,2,4,.324,.350,.514,.864,19,0,0,1,1,0
40,ARI,2020-09-05,@,SFG,L 3-4,36,31,3,6,4,1,0,1,3,1,0,4,8,.194,.278,.323,.600,10,1,0,0,1,0
41,ARI,2020-09-06,@,SFG,L 2-4,37,33,2,8,6,1,0,1,2,0,0,3,13,.242,.297,.364,.661,12,1,0,0,1,0
42,ARI,2020-09-07,@,SFG,L 2-4,36,31,2,3,1,1,0,1,2,0,0,5,12,.097,.222,.226,.448,7,0,0,0,0,0
43,ARI,2020-09-08,,LAD,L 9-10 (10),43,40,9,10,6,1,0,3,9,2,0,2,7,.250,.302,.500,.802,20,0,1,0,0,0
44,ARI,2020-09-09,,LAD,L 4-6 (10),40,35,4,6,3,2,1,0,3,0,0,3,9,.171,.250,.286,.536,10,1,1,0,1,0
45,ARI,2020-09-10,,LAD,W 5-2,37,36,5,11,7,2,1,1,5,0,0,1,5,.306,.324,.500,.824,18,0,0,0,0,0
46,ARI,2020-09-11,,SEA,W 4-3,32,29,4,7,4,2,1,0,4,1,0,1,6,.241,.250,.379,.629,11,0,0,0,2,0
47,ARI,2020-09-12,,SEA,L 3-7,37,33,3,7,6,1,0,0,3,0,0,3,7,.212,.297,.242,.540,8,1,1,0,0,0
48,ARI,2020-09-13,,SEA,L 3-7,39,30,3,5,3,2,0,0,3,3,0,8,13,.167,.333,.233,.567,7,1,0,0,1,0
49,ARI,2020-09-15,@,LAA,W 9-8,40,37,9,11,3,3,0,5,9,0,0,2,7,.297,.325,.784,1.109,29,0,0,0,1,0
50,ARI,2020-09-16,@,LAA,W 9-6,41,38,9,11,8,1,0,2,8,1,0,3,5,.289,.341,.474,.815,18,0,0,0,0,0
51,ARI,2020-09-17,@,LAA,L 3-7,39,35,3,8,6,2,0,0,3,0,1,4,11,.229,.308,.286,.593,10,0,0,0,0,0
52,ARI,2020-09-18,@,HOU,W 6-3,37,37,6,11,7,1,1,2,5,0,0,0,13,.297,.297,.541,.838,20,1,0,0,0,0
53,ARI,2020-09-19,@,HOU,L 2-3,34,29,2,4,1,2,0,1,2,0,0,3,10,.138,.235,.310,.546,9,0,1,0,1,0
54,ARI,2020-09-20,@,HOU,L 2-3,33,31,2,7,6,0,0,1,1,1,1,2,6,.226,.273,.323,.595,10,2,0,0,0,0
55,ARI,2020-09-22,,TEX,W 7-0,39,35,7,11,8,1,1,1,7,0,0,1,6,.314,.333,.486,.819,17,0,1,0,2,0
