Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
17,Tuesday Apr 20,boxscore,ARI,@,CIN,W,5,4,,7-10,4,6.5,Bukauskas,Garrett,Crichton,3:20,N,8085,.72,++,
18,Wednesday Apr 21,boxscore,ARI,@,CIN,W,8,5,10,8-10,4,6.0,Clarke,Pérez,,3:40,N,8025,.78,+++,
19,Thursday Apr 22,boxscore,ARI,@,CIN,W,14,11,10,9-10,4,5.0,Smith,Sims,,4:26,D,7549,.82,++++,
20,Friday Apr 23,boxscore,ARI,@,ATL,L,4,5,,9-11,4,5.0,Ynoa,Weaver,Smith,2:47,N,19258,.92,-,
21,Sunday Apr 25 (1),boxscore,ARI,@,ATL,W,5,0,7,10-11,4,4.0,Gallen,Wilson,,2:10,D,,.84,+,
22,Sunday Apr 25 (2),boxscore,ARI,@,ATL,W,7,0,7,11-11,4,4.0,Bumgarner,Smyly,,2:11,N,20693,.87,++,
23,Tuesday Apr 27,boxscore,ARI,,SDP,W,5,1,,12-11,3,2.5,Kelly,Paddack,,2:53,N,10486,1.01,+++,
24,Wednesday Apr 28,boxscore,ARI,,SDP,L,3,12,,12-12,4,3.5,Northcraft,Smith,,3:05,N,9495,1.12,-,
25,Thursday Apr 29,boxscore,ARI,,COL,W,5,3,,13-12,4,3.0,Smith,Stephenson,Crichton,3:01,N,6843,1.00,+,
26,Friday Apr 30,boxscore,ARI,,COL,W,7,2,,14-12,4,2.0,Bumgarner,Gray,,2:58,N,13184,1.05,++,
27,Saturday May 1,boxscore,ARI,,COL,L,6,14,,14-13,4,2.0,Gomber,Gallen,,3:41,N,15734,1.11,-,
28,Sunday May 2,boxscore,ARI,,COL,W,8,4,,15-13,4,2.0,Devenski,Bard,,3:29,D,11395,1.07,+,
29,Tuesday May 4,boxscore,ARI,@,MIA,L,3,9,,15-14,4,2.5,Bleier,Ginkel,,3:17,N,3898,1.05,-,
30,Wednesday May 5,boxscore,ARI,@,MIA,L,0,8,,15-15,4,2.5,Holloway,Weaver,,2:57,N,3573,1.04,--,
31,Thursday May 6,boxscore,ARI,@,MIA,L,1,3,,15-16,4,3.0,Floro,Bukauskas,Garcia,2:44,N,4049,1.02,---,
32,Friday May 7,boxscore,ARI,@,NYM,L-wo,4,5,10,15-17,4,4.0,Loup,Crichton,,3:52,N,7662,.99,----,
33,Saturday May 8,boxscore,ARI,@,NYM,L,2,4,,15-18,4,5.0,Lucchesi,Kelly,May,3:30,N,7908,.94,-----,
34,Sunday May 9,boxscore,ARI,@,NYM,L,2,4,,15-19,4,5.0,deGrom,Smith,Díaz,3:27,D,7880,.90,------,
35,Monday May 10,boxscore,ARI,,MIA,W,5,2,,16-19,4,5.0,Weaver,Holloway,Crichton,2:47,N,6307,.81,+,
36,Tuesday May 11,boxscore,ARI,,MIA,W,11,3,,17-19,4,5.0,Bumgarner,López,,3:02,N,5560,.89,++,
37,Wednesday May 12,boxscore,ARI,,MIA,L,2,3,,17-20,4,5.5,Poteet,Peacock,Garcia,2:41,N,5714,.91,-,
38,Thursday May 13,boxscore,ARI,,MIA,L,1,5,,17-21,4,6.5,Rogers,Kelly,,2:55,N,5967,.81,--,
39,Friday May 14,boxscore,ARI,,WSN,L,2,17,,17-22,4,6.5,Scherzer,Smith,,3:14,N,11907,.75,---,
40,Saturday May 15,boxscore,ARI,,WSN,W,11,4,,18-22,4,5.5,Young,Ross,,3:27,N,13462,.68,+,
41,Sunday May 16,boxscore,ARI,,WSN,L,0,3,,18-23,4,6.5,Fedde,Crichton,Hand,2:49,D,11619,.76,-,
42,Monday May 17,boxscore,ARI,@,LAD,L,1,3,,18-24,4,7.5,Buehler,Bumgarner,Jansen,3:05,N,14088,.76,--,
43,Tuesday May 18,boxscore,ARI,@,LAD,L,1,9,,18-25,4,8.5,Urías,Martin,,2:50,N,15313,.70,---,
44,Wednesday May 19,boxscore,ARI,@,LAD,L,2,4,,18-26,4,9.5,Kelly,Mantiply,Jansen,2:56,N,15586,.61,----,
45,Thursday May 20,boxscore,ARI,@,LAD,L,2,3,,18-27,4,10.5,González,Kelly,Jansen,2:54,N,16105,.51,-----,
46,Friday May 21,boxscore,ARI,@,COL,L,1,7,,18-28,4,10.5,Márquez,Frankoff,,2:45,N,18158,.39,------,
47,Saturday May 22,boxscore,ARI,@,COL,L,6,7,,18-29,4,11.5,Kinley,Bumgarner,Bard,3:19,D,20183,.34,-------,
48,Sunday May 23,boxscore,ARI,@,COL,L-wo,3,4,,18-30,5,12.5,Bard,Crichton,,3:20,D,19221,.30,--------,
49,Tuesday May 25,boxscore,ARI,,SFG,L,0,8,,18-31,5,13.0,Gausman,Martin,,3:16,N,10311,.26,---------,
50,Wednesday May 26,boxscore,ARI,,SFG,L,4,5,,18-32,5,14.0,Tropeano,Young,Rogers,3:03,N,8597,.22,----------,
51,Thursday May 27,boxscore,ARI,,STL,L,4,5,10,18-33,5,14.0,Reyes,Crichton,Ponce de Leon,3:28,N,8951,.16,-----------,
52,Friday May 28,boxscore,ARI,,STL,L,6,8,,18-34,5,15.0,Woodford,Bumgarner,Ponce de Leon,3:28,N,11581,.13,------------,
53,Saturday May 29,boxscore,ARI,,STL,L,4,7,,18-35,5,16.0,Wainwright,Frankoff,Reyes,3:24,N,17834,.11,-------------,
54,Sunday May 30,boxscore,ARI,,STL,W,9,2,,19-35,5,15.0,Peacock,Kim,Smith,2:59,D,16681,.08,+,
55,Monday May 31,boxscore,ARI,,NYM,L,2,6,,19-36,5,15.5,deGrom,Kelly,,2:58,N,11309,.10,-,
56,Tuesday Jun 1,boxscore,ARI,,NYM,W-wo,6,5,10,20-36,5,14.5,Young,May,,3:27,N,9590,.08,+,
57,Wednesday Jun 2,boxscore,ARI,,NYM,L,6,7,,20-37,5,15.0,Castro,Soria,Díaz,3:12,D,9810,.09,-,
58,Thursday Jun 3,boxscore,ARI,@,MIL,L,4,7,,20-38,5,16.0,Suter,Duplantier,Hader,3:09,N,12392,.08,--,
59,Friday Jun 4,boxscore,ARI,@,MIL,L,1,5,,20-39,5,17.0,Peralta,Peacock,,2:40,N,15261,.06,---,
60,Saturday Jun 5,boxscore,ARI,@,MIL,L,5,7,,20-40,5,18.0,Williams,Soria,Hader,3:12,D,20073,.04,----,
61,Sunday Jun 6,boxscore,ARI,@,MIL,L,0,2,,20-41,5,18.0,Burnes,Smith,Boxberger,3:04,D,20117,.04,-----,
62,Tuesday Jun 8,boxscore,ARI,@,OAK,L,2,5,,20-42,5,19.0,Bassitt,Duplantier,Trivino,2:44,N,3695,.04,------,
63,Wednesday Jun 9,boxscore,ARI,@,OAK,L,0,4,,20-43,5,19.0,Manaea,Peacock,,2:59,D,4090,.03,-------,
64,Friday Jun 11,boxscore,ARI,,LAA,L,5,6,10,20-44,5,20.0,Iglesias,Buchter,Claudio,4:09,N,18458,.02,--------,
65,Saturday Jun 12,boxscore,ARI,,LAA,L,7,8,,20-45,5,20.5,Claudio,Soria,Iglesias,3:23,D,13863,.01,---------,
66,Sunday Jun 13,boxscore,ARI,,LAA,L,3,10,,20-46,5,20.5,Sandoval,Duplantier,,3:05,D,12768,.01,----------,
67,Monday Jun 14,boxscore,ARI,@,SFG,L,2,5,,20-47,5,21.5,Wood,Peacock,McGee,2:59,N,9906,.01,-----------,
68,Tuesday Jun 15,boxscore,ARI,@,SFG,L,8,9,,20-48,5,22.5,Sherfy,Castellanos,Rogers,3:03,N,9867,.00,------------,
69,Wednesday Jun 16,boxscore,ARI,@,SFG,L,7,13,,20-49,5,23.5,DeSclafani,Kelly,,3:36,N,11004,.00,-------------,
70,Thursday Jun 17,boxscore,ARI,@,SFG,L,3,10,,20-50,5,24.5,Gausman,Gallen,,2:54,D,13144,.00,--------------,
71,Friday Jun 18,boxscore,ARI,,LAD,L,0,3,,20-51,5,25.5,Bauer,Mantiply,Jansen,3:09,N,25356,.00,---------------,
72,Saturday Jun 19,boxscore,ARI,,LAD,L,3,9,,20-52,5,25.5,Buehler,Peacock,,3:06,N,29904,.00,----------------,
73,Sunday Jun 20,boxscore,ARI,,LAD,L,8,9,,20-53,5,26.5,Cleavinger,Young,Jansen,3:39,D,31661,.00,-----------------,
74,Monday Jun 21,boxscore,ARI,,MIL,W,5,1,,21-53,5,26.0,Kelly,Anderson,,2:55,N,9804,.00,+,
75,Tuesday Jun 22,boxscore,ARI,,MIL,L,0,5,,21-54,5,27.0,Peralta,Gallen,,3:13,N,9358,.00,-,
76,Wednesday Jun 23,boxscore,ARI,,MIL,L,2,3,,21-55,5,28.0,Woodruff,Smith,Hader,3:28,D,8676,.00,--,
77,Friday Jun 25,boxscore,ARI,@,SDP,L,5,11,,21-56,5,29.0,Ramirez,Martin,,3:31,N,32583,.00,---,
78,Saturday Jun 26,boxscore,ARI,@,SDP,W,10,1,,22-56,5,29.0,Kelly,Lamet,,3:35,N,40557,.00,+,
79,Sunday Jun 27,boxscore,ARI,@,SDP,L,4,5,,22-57,5,29.0,Hill,Peacock,Melancon,3:27,D,34905,.00,-,
80,Monday Jun 28,boxscore,ARI,@,STL,L,1,7,,22-58,5,29.0,Gallegos,Young,,3:33,N,27175,.00,--,
81,Tuesday Jun 29,boxscore,ARI,@,STL,L,2,3,,22-59,5,29.0,Martinez,Smith,Reyes,3:11,N,28740,.00,---,
82,Wednesday Jun 30,boxscore,ARI,@,STL,L,4,7,,22-60,5,29.5,Kim,Smith,Reyes,3:20,D,27235,.00,----,
83,Thursday Jul 1,boxscore,ARI,,SFG,W,5,3,,23-60,5,28.5,Kelly,Cueto,Soria,2:37,N,9172,.00,+,
84,Friday Jul 2,boxscore,ARI,,SFG,L,4,11,,23-61,5,29.5,Wood,Gallen,,3:40,N,12262,.00,-,
85,Saturday Jul 3,boxscore,ARI,,SFG,L,5,6,,23-62,5,30.5,Leone,Buchter,McGee,3:47,N,23689,.00,--,
86,Sunday Jul 4,boxscore,ARI,,SFG,L,2,5,,23-63,5,31.5,DeSclafani,Smith,Rogers,2:43,N,27032,.00,---,
87,Tuesday Jul 6,boxscore,ARI,,COL,W-wo,4,3,,24-63,5,30.0,Soria,Bard,,3:17,N,6847,.00,+,
88,Wednesday Jul 7,boxscore,ARI,,COL,W,6,4,,25-63,5,30.0,Peacock,Senzatela,Soria,3:02,N,7852,.00,++,
89,Thursday Jul 8,boxscore,ARI,,COL,L,3,9,,25-64,5,30.5,González,Weems,,3:23,D,7740,.00,-,
90,Friday Jul 9,boxscore,ARI,@,LAD,W,5,2,,26-64,5,30.5,de Geus,Núñez,Soria,3:34,N,49215,.00,+,
91,Saturday Jul 10,boxscore,ARI,@,LAD,L,1,22,,26-65,5,31.5,Buehler,Smith,,3:19,N,44654,.00,-,
92,Sunday Jul 11,boxscore,ARI,@,LAD,L-wo,4,7,,26-66,5,32.5,Jansen,Bukauskas,,3:40,D,40464,.00,--,
93,Friday Jul 16,boxscore,ARI,,CHC,L,1,5,,26-67,5,33.5,Hendricks,Bumgarner,,3:09,N,22046,.00,---,
94,Saturday Jul 17,boxscore,ARI,,CHC,L,2,4,,26-68,5,33.5,Brothers,Soria,Kimbrel,3:15,D,20180,.00,----,
95,Sunday Jul 18,boxscore,ARI,,CHC,W,6,4,,27-68,5,32.5,Kelly,Winkler,Soria,3:09,D,21457,.00,+,
96,Monday Jul 19,boxscore,ARI,,PIT,W,4,2,,28-68,5,32.5,Smith,De Jong,Soria,3:25,N,9173,.00,++,
97,Tuesday Jul 20,boxscore,ARI,,PIT,W,11,6,,29-68,5,31.5,Bukauskas,Davis,,3:11,N,7283,.00,+++,
98,Wednesday Jul 21,boxscore,ARI,,PIT,W,6,4,,30-68,5,31.5,de Geus,Underwood,Soria,3:24,D,7863,.00,++++,
99,Friday Jul 23,boxscore,ARI,@,CHC,L,3,8,,30-69,5,32.0,Davies,Gallen,Thompson,3:11,D,34059,.00,-,
100,Saturday Jul 24,boxscore,ARI,@,CHC,W,7,3,,31-69,5,31.0,Kelly,Chafin,,3:15,D,37190,.00,+,
101,Sunday Jul 25,boxscore,ARI,@,CHC,L,1,5,,31-70,5,32.0,Williams,Smith,Kimbrel,3:13,D,32602,.00,-,
102,Tuesday Jul 27,boxscore,ARI,@,TEX,L,4,5,,31-71,5,33.0,Dunning,Widener,Kennedy,3:08,N,27336,.00,--,
103,Wednesday Jul 28,boxscore,ARI,@,TEX,W,3,2,,32-71,5,32.0,Bumgarner,Martin,Clippard,2:42,N,26607,.00,+,
104,Friday Jul 30,boxscore,ARI,,LAD,W-wo,6,5,10,33-71,5,31.5,Peacock,Nelson,,4:33,N,20780,.00,++,
105,Saturday Jul 31,boxscore,ARI,,LAD,L,3,8,,33-72,5,32.5,Vesia,Kelly,,3:33,N,23814,.00,-,
106,Sunday Aug 1,boxscore,ARI,,LAD,L,0,13,,33-73,5,33.5,Urías,Smith,,3:13,D,17195,.00,--,
107,Monday Aug 2,boxscore,ARI,,SFG,L,8,11,10,33-74,5,34.5,García,Aguilar,,4:04,N,8904,.00,---,
108,Tuesday Aug 3,boxscore,ARI,,SFG,W,3,1,,34-74,5,33.5,Bumgarner,Cueto,Clippard,3:10,N,8809,.00,+,
109,Wednesday Aug 4,boxscore,ARI,,SFG,L,1,7,,34-75,5,34.5,Gausman,Gallen,,3:31,N,8091,.00,-,
110,Thursday Aug 5,boxscore,ARI,,SFG,L,4,5,10,34-76,5,35.5,Rogers,Gilbert,McGee,3:40,D,8773,.00,--,
111,Friday Aug 6,boxscore,ARI,@,SDP,W,8,5,,35-76,5,34.5,Peacock,Weathers,Poppen,3:09,N,34038,.00,+,
112,Saturday Aug 7,boxscore,ARI,@,SDP,L,2,6,,35-77,5,35.5,Pomeranz,de Geus,,3:18,N,39134,.00,-,
113,Sunday Aug 8,boxscore,ARI,@,SDP,L,0,2,,35-78,5,36.5,Snell,Bumgarner,Melancon,2:43,D,30989,.00,--,
114,Tuesday Aug 10,boxscore,ARI,@,SFG,L-wo,7,8,,35-79,5,37.5,Littell,Peacock,,3:10,N,23802,.00,---,
115,Wednesday Aug 11,boxscore,ARI,@,SFG,L,2,7,,35-80,5,38.5,Gausman,Kelly,,3:14,N,20037,.00,----,
116,Thursday Aug 12,boxscore,ARI,,SDP,W,12,3,,36-80,5,38.5,Smith,Darvish,,3:42,N,9086,.00,+,
117,Friday Aug 13,boxscore,ARI,,SDP,W-wo,3,2,,37-80,5,38.5,Clippard,Stammen,,3:06,N,12866,.00,++,
118,Saturday Aug 14,boxscore,ARI,,SDP,W,7,0,,38-80,5,37.5,Gilbert,Musgrove,,2:31,N,16716,.00,+++,
119,Sunday Aug 15,boxscore,ARI,,SDP,L,2,8,,38-81,5,38.5,Knehr,Gallen,,3:19,D,17722,.00,-,
120,Tuesday Aug 17,boxscore,ARI,,PHI,W,3,2,,39-81,5,39.0,Aguilar,Gibson,Clippard,2:49,N,7796,.00,+,
121,Wednesday Aug 18,boxscore,ARI,,PHI,W,4,2,,40-81,5,38.0,Castellanos,Suárez,Clippard,2:57,N,7968,.00,++,
122,Thursday Aug 19,boxscore,ARI,,PHI,W,6,2,,41-81,5,37.5,Bumgarner,Wheeler,,2:48,D,7165,.00,+++,
123,Friday Aug 20,boxscore,ARI,@,COL,L,4,9,,41-82,5,37.5,Stephenson,de Geus,,3:16,N,30243,.00,-,
124,Saturday Aug 21,boxscore,ARI,@,COL,L-wo,2,5,,41-83,5,38.5,Bard,Wendelken,,3:04,N,32699,.00,--,
125,Sunday Aug 22,boxscore,ARI,@,COL,W,8,4,,42-83,5,38.5,Widener,Gray,,3:50,D,24552,.00,+,
126,Monday Aug 23,boxscore,ARI,@,PIT,L,5,6,,42-84,5,39.0,Banda,Ramirez,Bednar,3:40,N,8596,.00,-,
127,Tuesday Aug 24,boxscore,ARI,@,PIT,L,2,4,,42-85,5,40.0,Brubaker,Bumgarner,Stratton,2:46,N,8478,.00,--,
128,Wednesday Aug 25,boxscore,ARI,@,PIT,W,5,2,,43-85,5,40.0,de Geus,Banda,Clippard,3:18,N,8357,.00,+,
129,Thursday Aug 26,boxscore,ARI,@,PHI,W,8,7,,44-85,5,40.0,Gallen,Moore,Ramirez,3:54,N,20148,.00,++,
130,Friday Aug 27,boxscore,ARI,@,PHI,L-wo,6,7,11,44-86,5,40.0,De Los Santos,Clarke,,4:12,N,23181,.00,-,
131,Saturday Aug 28,boxscore,ARI,@,PHI,L,0,7,,44-87,5,41.0,Gibson,Mejía,,2:57,N,24692,.00,--,
132,Sunday Aug 29,boxscore,ARI,@,PHI,L,4,7,,44-88,5,41.0,Suárez,Bumgarner,Kennedy,3:25,D,22237,.00,---,
133,Monday Aug 30,boxscore,ARI,,SDP,L,5,7,,44-89,5,41.0,Stammen,Gilbert,Melancon,3:35,N,8482,.00,----,
134,Tuesday Aug 31,boxscore,ARI,,SDP,L,0,3,,44-90,5,41.0,Snell,Gallen,Melancon,3:05,N,10818,.00,-----,
135,Wednesday Sep 1,boxscore,ARI,,SDP,W,8,3,,45-90,5,40.5,Weaver,Darvish,,3:16,D,5945,.00,+,
136,Friday Sep 3,boxscore,ARI,,SEA,L,5,6,10,45-91,5,41.5,Sheffield,Clarke,Ramirez,3:31,N,12729,.00,-,
137,Saturday Sep 4,boxscore,ARI,,SEA,L,5,8,,45-92,5,41.5,Gonzales,Smith,Castillo,3:10,N,18819,.00,--,
138,Sunday Sep 5,boxscore,ARI,,SEA,L,4,10,11,45-93,5,42.5,Ramirez,Clarke,,3:49,D,14408,.00,---,
139,Tuesday Sep 7,boxscore,ARI,,TEX,L,1,3,,45-94,5,44.0,Lyles,Gallen,,2:47,N,8758,.00,----,
140,Wednesday Sep 8,boxscore,ARI,,TEX,L,5,8,,45-95,5,45.0,Cotton,Weaver,Barlow,3:35,D,6354,.00,-----,
141,Friday Sep 10,boxscore,ARI,@,SEA,L,4,5,,45-96,5,46.0,Gonzales,Bumgarner,Steckenrider,2:38,N,14379,.00,------,
142,Saturday Sep 11,boxscore,ARI,@,SEA,W,7,3,,46-96,5,46.0,Castellanos,Flexen,,2:57,N,15483,.00,+,
143,Sunday Sep 12,boxscore,ARI,@,SEA,W,5,4,,47-96,5,46.0,Gilbert,Misiewicz,Wendelken,3:03,D,13551,.00,++,
144,Monday Sep 13,boxscore,ARI,@,LAD,L,1,5,,47-97,5,47.0,Bickford,Gallen,,3:15,N,43273,.00,-,
145,Tuesday Sep 14,boxscore,ARI,@,LAD,L,4,8,,47-98,5,48.0,Gonsolin,Weaver,,3:14,N,44630,.00,--,
146,Wednesday Sep 15,boxscore,ARI,@,LAD,L,3,5,,47-99,5,48.0,Urías,Kelly,Jansen,3:26,N,46520,.00,---,
147,Friday Sep 17,boxscore,ARI,@,HOU,L-wo,3,4,10,47-100,5,48.5,Stanek,Clippard,,3:40,N,22595,.00,----,
148,Saturday Sep 18,boxscore,ARI,@,HOU,W,6,4,10,48-100,5,48.5,Wendelken,Garcia,Clippard,3:44,N,25314,.00,+,
149,Sunday Sep 19,boxscore,ARI,@,HOU,L,6,7,,48-101,5,48.5,Solomon,Sittinger,Pressly,3:17,D,23888,.00,-,
150,Monday Sep 20,boxscore,ARI,,ATL,L,4,11,,48-102,5,49.0,Webb,Mejía,,3:29,N,9642,.00,--,
151,Tuesday Sep 21,boxscore,ARI,,ATL,L,1,6,,48-103,5,50.0,Smyly,Weaver,,3:07,N,8879,.00,---,
152,Wednesday Sep 22,boxscore,ARI,,ATL,L,2,9,,48-104,5,51.0,Anderson,Kelly,,3:00,N,10631,.00,----,
153,Thursday Sep 23,boxscore,ARI,,ATL,W,6,4,,49-104,5,50.0,Poppen,Webb,Wendelken,2:56,D,6880,.00,+,
154,Friday Sep 24,boxscore,ARI,,LAD,L,2,4,,49-105,5,51.0,Gonsolin,Castellanos,Jansen,2:59,N,19001,.00,-,
155,Saturday Sep 25,boxscore,ARI,,LAD,W,7,2,,50-105,5,51.0,Gallen,Kershaw,,3:07,N,28026,.00,+,
156,Sunday Sep 26,boxscore,ARI,,LAD,L,0,3,,50-106,5,52.0,Urías,Mejía,Jansen,3:28,D,16648,.00,-,
157,Tuesday Sep 28,boxscore,ARI,@,SFG,L,4,6,,50-107,5,53.0,Alvarez,Poppen,Doval,3:42,N,28122,.00,--,
158,Wednesday Sep 29,boxscore,ARI,@,SFG,L,0,1,,50-108,5,54.0,Leone,Ramirez,Doval,2:52,N,23110,.00,---,
159,Thursday Sep 30,boxscore,ARI,@,SFG,L-wo,4,5,,50-109,5,55.0,Rogers,Mantiply,,3:28,N,27503,.00,----,
160,Friday Oct 1,boxscore,ARI,,COL,L,7,9,,50-110,5,56.0,Gilbreath,Wendelken,Estévez,3:22,N,15189,.00,-----,
161,Saturday Oct 2,boxscore,ARI,,COL,W,11,2,,51-110,5,55.0,Gallen,Senzatela,,3:17,N,19418,.00,+,
162,Sunday Oct 3,boxscore,ARI,,COL,W-wo,5,4,,52-110,5,55.0,Wendelken,Estévez,,3:21,D,12565,.00,++,

1,Thursday Apr 1,boxscore,ATL,@,PHI,L-wo,2,3,10,0-1,4,1.0,Brogdon,Jones,,3:33,D,8529,1.05,-,
2,Saturday Apr 3,boxscore,ATL,@,PHI,L,0,4,,0-2,5,2.0,Wheeler,Morton,,2:30,D,8582,1.07,--,
3,Sunday Apr 4,boxscore,ATL,@,PHI,L,1,2,,0-3,5,3.0,Alvarado,Martin,Neris,2:40,D,10773,.99,---,
4,Tuesday Apr 6,boxscore,ATL,@,WSN,L-wo,5,6,,0-4,5,3.5,Hudson,Smith,,3:10,D,4801,.95,----,
5,Wednesday Apr 7 (1),boxscore,ATL,@,WSN,W,7,6,7,1-4,4,3.0,Tomlin,Fedde,Smith,2:49,D,,.91,+,
6,Wednesday Apr 7 (2),boxscore,ATL,@,WSN,W,2,0,7,2-4,4,3.0,Jackson,Rainey,Newcomb,2:08,N,4927,.92,++,
7,Friday Apr 9,boxscore,ATL,,PHI,W,8,1,,3-4,3,2.0,Morton,Wheeler,,3:03,N,14342,1.07,+++,
8,Saturday Apr 10,boxscore,ATL,,PHI,W,5,4,,4-4,2,1.0,Newcomb,Bradley,Smith,2:50,N,14394,1.15,++++,
9,Sunday Apr 11,boxscore,ATL,,PHI,L,6,7,,4-5,3,2.0,Alvarado,Smith,Neris,3:03,N,14221,1.22,-,
10,Monday Apr 12,boxscore,ATL,,MIA,L,3,5,10,4-6,3,2.5,Garcia,Webb,,3:45,N,11830,1.06,--,
11,Tuesday Apr 13,boxscore,ATL,,MIA,L,8,14,,4-7,3,2.5,Curtiss,Fried,,3:51,N,12036,.92,---,
12,Wednesday Apr 14,boxscore,ATL,,MIA,L,5,6,10,4-8,5,3.5,Curtiss,Matzek,Garcia,3:26,N,12480,.95,----,
13,Thursday Apr 15,boxscore,ATL,,MIA,W-wo,7,6,,5-8,3,3.0,Minter,Floro,,3:24,D,11739,.89,+,
14,Friday Apr 16,boxscore,ATL,@,CHC,W,5,2,,6-8,3,2.5,Tomlin,Davies,Smith,4:02,D,10343,.79,++,
15,Saturday Apr 17,boxscore,ATL,@,CHC,L,4,13,,6-9,5,3.0,Williams,Ynoa,,3:23,D,10343,.90,-,
16,Sunday Apr 18,boxscore,ATL,@,CHC,W,13,4,,7-9,3,3.0,Wilson,Hendricks,,3:26,N,10343,.84,+,
17,Tuesday Apr 20,boxscore,ATL,@,NYY,L,1,3,,7-10,3,3.0,Loáisiga,Matzek,Chapman,3:06,N,10017,.90,-,
18,Wednesday Apr 21,boxscore,ATL,@,NYY,W,4,1,,8-10,3,2.0,Anderson,Kluber,,3:16,N,9634,.88,+,
19,Friday Apr 23,boxscore,ATL,,ARI,W,5,4,,9-10,2,1.5,Ynoa,Weaver,Smith,2:47,N,19258,.94,++,
20,Sunday Apr 25 (1),boxscore,ATL,,ARI,L,0,5,7,9-11,3,2.5,Gallen,Wilson,,2:10,D,,1.02,-,
21,Sunday Apr 25 (2),boxscore,ATL,,ARI,L,0,7,7,9-12,3,2.5,Bumgarner,Smyly,,2:11,N,20693,.95,--,
22,Monday Apr 26,boxscore,ATL,,CHC,W,8,7,,10-12,3,2.0,Morton,Workman,Smith,3:29,N,17956,.91,+,
23,Tuesday Apr 27,boxscore,ATL,,CHC,W,5,0,,11-12,2,1.0,Anderson,Williams,,2:46,N,17603,.91,++,
24,Wednesday Apr 28,boxscore,ATL,,CHC,W,10,0,,12-12,1,Tied,Ynoa,Hendricks,,2:56,N,18709,.97,+++,
25,Thursday Apr 29,boxscore,ATL,,CHC,L,3,9,,12-13,2,0.5,Alzolay,Wilson,,3:15,N,19661,1.04,-,
26,Friday Apr 30,boxscore,ATL,@,TOR,L,5,13,,12-14,3,1.0,Ray,Smyly,,3:17,N,1629,1.00,--,
27,Saturday May 1,boxscore,ATL,@,TOR,L-wo,5,6,10,12-15,4,1.5,Romano,Jones,,3:34,N,1634,.94,---,
28,Sunday May 2,boxscore,ATL,@,TOR,L,2,7,,12-16,4,2.5,Borucki,Anderson,Dolis,3:09,D,1554,.88,----,
29,Tuesday May 4,boxscore,ATL,@,WSN,W,6,1,,13-16,4,1.5,Ynoa,Ross,,2:55,N,8156,1.01,+,
30,Wednesday May 5,boxscore,ATL,@,WSN,W,5,3,,14-16,3,1.5,Fried,Fedde,Smith,2:49,N,8400,1.05,++,
