Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Apr 1,boxscore,ARI,@,SDP,L,7,8,,0-1,3,1.0,Pagán,Young,Melancon,3:26,D,10350,1.09,-,
2,Friday Apr 2,boxscore,ARI,@,SDP,L,2,4,,0-2,5,2.0,Pagán,Kelly,Melancon,3:53,N,10350,1.04,--,
3,Saturday Apr 3,boxscore,ARI,@,SDP,L,0,7,,0-3,5,3.0,Musgrove,Smith,Weathers,2:58,N,10350,.95,---,
4,Sunday Apr 4,boxscore,ARI,@,SDP,W,3,1,,1-3,4,2.0,Widener,Paddack,Devenski,3:19,D,10350,.94,+,
5,Tuesday Apr 6,boxscore,ARI,@,COL,W,10,8,13,2-3,3,2.5,Peacock,Bowden,,4:29,N,10240,.93,++,
6,Wednesday Apr 7,boxscore,ARI,@,COL,L,0,8,,2-4,4,2.5,Senzatela,Bumgarner,,2:57,N,12894,.97,-,
7,Thursday Apr 8,boxscore,ARI,@,COL,L,3,7,,2-5,5,3.0,Gray,Kelly,Bard,2:51,D,10836,1.00,--,
8,Friday Apr 9,boxscore,ARI,,CIN,L,5,6,10,2-6,5,4.0,Pérez,Young,Garrett,3:47,N,19385,.85,---,
9,Saturday Apr 10,boxscore,ARI,,CIN,W,8,3,,3-6,4,4.0,Smith,Hoffman,,3:09,N,13208,.77,+,
10,Sunday Apr 11,boxscore,ARI,,CIN,W,7,0,,4-6,4,4.0,Weaver,De León,,2:39,D,10981,.79,++,
11,Monday Apr 12,boxscore,ARI,,OAK,L,5,9,,4-7,4,4.5,Bassitt,Bumgarner,,3:29,N,8768,.78,-,
12,Tuesday Apr 13,boxscore,ARI,,OAK,L,5,7,,4-8,4,5.5,Petit,Swarzak,Trivino,3:39,D,7010,.72,--,
13,Thursday Apr 15,boxscore,ARI,@,WSN,W,11,6,,5-8,4,6.0,Kelly,Corbin,,3:26,N,6666,.73,+,
14,Friday Apr 16,boxscore,ARI,@,WSN,L-wo,0,1,,5-9,4,7.0,Hand,Young,,2:54,N,8056,.76,-,
15,Saturday Apr 17,boxscore,ARI,@,WSN,L,2,6,,5-10,4,8.0,Fedde,Weaver,,3:23,D,8305,.74,--,
16,Sunday Apr 18,boxscore,ARI,@,WSN,W,5,2,,6-10,4,7.0,Bumgarner,Espino,Crichton,3:20,D,8478,.67,+,
