Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
32,Friday May 3,boxscore,ARI,@,COL,W,10,9,,19-13,2,1.0,Ray,Anderson,Holland,3:24,N,29574,1.32,+++,
33,Saturday May 4,boxscore,ARI,@,COL,W,9,2,,20-13,2,1.0,Weaver,Freeland,,2:51,N,37765,1.32,++++,
34,Sunday May 5,boxscore,ARI,@,COL,L,7,8,,20-14,2,1.0,Oberg,Bradley,Davis,3:09,D,40262,1.31,-,
35,Monday May 6,boxscore,ARI,@,TBR,L,1,12,,20-15,2,2.0,Snell,Kelly,,2:54,N,8124,1.18,--,
36,Tuesday May 7,boxscore,ARI,@,TBR,L,3,6,,20-16,2,3.0,Beeks,Clarke,,3:19,N,8059,1.18,---,
37,Wednesday May 8,boxscore,ARI,@,TBR,W,3,2,13,21-16,2,3.0,Bradley,Kolarek,Godley,4:39,D,8663,1.14,+,
38,Thursday May 9,boxscore,ARI,,ATL,W-wo,3,2,10,22-16,2,2.0,Duplantier,Minter,,3:13,N,17751,1.17,++,
39,Friday May 10,boxscore,ARI,,ATL,L,1,2,,22-17,2,3.0,Winkler,López,Jackson,3:00,N,21932,1.23,-,
40,Saturday May 11,boxscore,ARI,,ATL,L,4,6,,22-18,2,3.0,Gausman,Kelly,Venters,3:09,N,33168,1.16,--,
41,Sunday May 12,boxscore,ARI,,ATL,L,3,5,,22-19,2,4.0,Fried,Godley,Jackson,3:21,D,27460,1.15,---,
42,Monday May 13,boxscore,ARI,,PIT,W,9,3,,23-19,2,3.5,Ray,Kingham,,3:27,N,15418,1.14,+,
43,Tuesday May 14,boxscore,ARI,,PIT,L,2,6,,23-20,2,4.5,Musgrove,Weaver,,2:45,N,21047,1.19,-,
44,Wednesday May 15,boxscore,ARI,,PIT,W,11,1,,24-20,2,4.5,Greinke,Archer,,2:58,D,17258,1.11,+,
45,Friday May 17,boxscore,ARI,,SFG,W,7,0,,25-20,2,4.5,Kelly,Samardzija,,3:06,N,26806,1.14,++,
46,Saturday May 18,boxscore,ARI,,SFG,L,5,8,,25-21,2,4.5,Bumgarner,Godley,,3:24,N,25014,1.21,-,
47,Sunday May 19,boxscore,ARI,,SFG,L,2,3,10,25-22,2,5.5,Dyson,Hirano,Smith,3:28,D,24061,1.21,--,
48,Monday May 20,boxscore,ARI,@,SDP,L,1,2,,25-23,2,6.0,Paddack,Weaver,Yates,2:40,N,17578,1.18,---,
49,Tuesday May 21,boxscore,ARI,@,SDP,L,2,3,,25-24,2,7.0,Strahm,Greinke,Yates,2:21,N,19969,1.15,----,
50,Wednesday May 22,boxscore,ARI,@,SDP,L,2,5,,25-25,3,7.0,Lauer,Kelly,Yates,2:57,D,18715,1.05,-----,
51,Friday May 24,boxscore,ARI,@,SFG,W,18,2,,26-25,3,7.0,Ray,Pomeranz,Godley,3:35,N,31777,.96,+,
52,Saturday May 25,boxscore,ARI,@,SFG,W,10,4,,27-25,3,7.0,Clarke,Suárez,,3:06,D,31531,.96,++,
53,Sunday May 26,boxscore,ARI,@,SFG,W,6,2,,28-25,2,7.0,Weaver,Anderson,Holland,3:17,D,37017,1.01,+++,
54,Monday May 27,boxscore,ARI,@,COL,L-wo,3,4,11,28-26,2,8.0,Oh,Andriese,,4:23,D,35604,1.09,-,
55,Tuesday May 28,boxscore,ARI,@,COL,L,2,6,,28-27,3,8.0,Díaz,Kelly,Bettis,3:02,N,21583,1.03,--,
56,Wednesday May 29,boxscore,ARI,@,COL,L,4,5,,28-28,3,9.0,Hoffman,Ray,Oberg,3:11,N,24261,1.01,---,
57,Thursday May 30,boxscore,ARI,@,COL,L-wo,10,11,10,28-29,4,10.0,Oh,Hirano,,3:51,D,30371,.95,----,
58,Friday May 31,boxscore,ARI,,NYM,L,4,5,,28-30,4,11.0,Wheeler,Andriese,Gsellman,3:14,N,24664,.80,-----,
59,Saturday Jun 1,boxscore,ARI,,NYM,W-wo,6,5,11,29-30,4,11.0,Hirano,Bashlor,,3:42,N,34888,.69,+,
60,Sunday Jun 2,boxscore,ARI,,NYM,W,7,1,,30-30,4,11.0,Kelly,Matz,,2:37,D,26945,.77,++,
61,Monday Jun 3,boxscore,ARI,,LAD,L,1,3,,30-31,4,12.0,Buehler,Ray,Jansen,2:26,N,24124,.92,-,
62,Tuesday Jun 4,boxscore,ARI,,LAD,L,0,9,,30-32,4,13.0,Ryu,Clarke,,3:07,N,29784,.79,--,
63,Wednesday Jun 5,boxscore,ARI,,LAD,W-wo,3,2,11,31-32,4,12.0,Godley,Alexander,,3:27,D,22753,.72,+,
64,Friday Jun 7,boxscore,ARI,@,TOR,W,8,2,,32-32,4,11.0,Kelly,Stroman,,2:50,N,16555,.68,++,
65,Saturday Jun 8,boxscore,ARI,@,TOR,W,6,0,,33-32,3,11.0,Greinke,Sanchez,,3:09,D,22954,.73,+++,
66,Sunday Jun 9,boxscore,ARI,@,TOR,W,8,2,,34-32,2,11.0,Ray,Richard,,3:04,D,19661,.79,++++,
67,Monday Jun 10,boxscore,ARI,@,PHI,W,13,8,,35-32,2,10.0,Godley,Eickhoff,,3:50,N,26255,.92,+++++,
68,Tuesday Jun 11,boxscore,ARI,@,PHI,L,4,7,,35-33,3,10.0,Arrieta,Duplantier,Neris,3:16,N,26321,.96,-,
69,Wednesday Jun 12,boxscore,ARI,@,PHI,W,2,0,,36-33,2,9.5,Kelly,Eflin,Holland,2:16,N,29047,.95,+,
70,Thursday Jun 13,boxscore,ARI,@,WSN,W,5,0,,37-33,2,9.5,Greinke,Fedde,,2:15,N,24909,.99,++,
71,Friday Jun 14,boxscore,ARI,@,WSN,L,3,7,,37-34,2,10.5,Scherzer,Ray,,2:57,N,29853,1.03,-,
72,Saturday Jun 15,boxscore,ARI,@,WSN,W,10,3,,38-34,2,9.5,Hirano,Strasburg,,3:30,D,38044,.96,+,
73,Sunday Jun 16,boxscore,ARI,@,WSN,L,5,15,,38-35,2,10.5,Sánchez,Bradley,,3:14,D,29032,1.05,-,
74,Tuesday Jun 18,boxscore,ARI,,COL,L,1,8,,38-36,3,11.0,Senzatela,Kelly,,2:51,N,22954,1.06,--,
75,Wednesday Jun 19,boxscore,ARI,,COL,L,4,6,,38-37,3,12.0,Gray,Greinke,Davis,2:55,N,21773,1.00,---,
76,Thursday Jun 20,boxscore,ARI,,COL,L,4,6,10,38-38,4,13.0,Oberg,Hirano,,4:08,D,23294,.88,----,
77,Friday Jun 21,boxscore,ARI,,SFG,L,5,11,,38-39,4,14.0,Samardzija,Clarke,,3:09,N,29312,.75,-----,
78,Saturday Jun 22,boxscore,ARI,,SFG,L,4,7,,38-40,4,15.0,Gott,Godley,Smith,3:20,N,32082,.65,------,
79,Sunday Jun 23,boxscore,ARI,,SFG,W-wo,3,2,10,39-40,3,15.0,Andriese,Melancon,,3:13,D,25071,.60,+,
80,Monday Jun 24,boxscore,ARI,,LAD,W,8,5,,40-40,3,14.0,López,Floro,Holland,3:12,N,24675,.69,++,
81,Tuesday Jun 25,boxscore,ARI,,LAD,L,2,3,,40-41,3,15.0,Urías,Ray,Jansen,3:07,N,27927,.80,-,
82,Wednesday Jun 26,boxscore,ARI,,LAD,W,8,2,,41-41,3,14.0,Clarke,Gonsolin,,3:01,D,28752,.69,+,
83,Thursday Jun 27,boxscore,ARI,@,SFG,W,5,1,,42-41,3,14.0,Young,Beede,,2:42,N,30790,.74,++,
84,Friday Jun 28,boxscore,ARI,@,SFG,L,3,6,,42-42,4,14.0,Anderson,Kelly,,3:07,N,35391,.76,-,
85,Saturday Jun 29,boxscore,ARI,@,SFG,W,4,3,,43-42,4,13.0,Greinke,Dyson,Holland,3:18,N,31600,.72,+,
86,Sunday Jun 30,boxscore,ARI,@,SFG,L,4,10,,43-43,4,14.0,Bumgarner,Ray,,3:09,D,31778,.77,-,
87,Tuesday Jul 2,boxscore,ARI,@,LAD,L-wo,4,5,,43-44,3,15.0,Garcia,Holland,,3:26,N,52969,.79,--,
88,Wednesday Jul 3,boxscore,ARI,@,LAD,L-wo,4,5,10,43-45,3,16.0,Kelly,López,,3:19,N,53327,.71,---,
89,Friday Jul 5,boxscore,ARI,,COL,W,8,0,,44-45,3,15.5,Greinke,Senzatela,,2:52,N,43056,.66,+,
90,Saturday Jul 6,boxscore,ARI,,COL,W,4,2,,45-45,2,14.5,Ray,Gray,Holland,3:11,N,28276,.73,++,
91,Sunday Jul 7,boxscore,ARI,,COL,W,5,3,,46-45,2,13.5,Young,Márquez,Holland,2:36,D,22964,.81,+++,
92,Friday Jul 12,boxscore,ARI,@,STL,W,4,2,,47-45,2,12.5,Ray,Miller,Holland,2:56,N,44960,.86,++++,
93,Saturday Jul 13,boxscore,ARI,@,STL,L,2,4,,47-46,2,13.5,Hudson,Kelly,Martinez,3:04,N,46152,.89,-,
94,Sunday Jul 14,boxscore,ARI,@,STL,L,2,5,,47-47,2,14.5,Wainwright,Greinke,Martinez,2:52,D,43439,.87,--,
95,Tuesday Jul 16,boxscore,ARI,@,TEX,W,9,2,,48-47,2,14.0,Young,Lynn,,3:23,N,19202,.74,+,
96,Wednesday Jul 17,boxscore,ARI,@,TEX,W,19,4,,49-47,2,14.0,Ray,Chavez,,3:14,N,26681,.80,++,
97,Thursday Jul 18,boxscore,ARI,,MIL,L,1,5,,49-48,2,14.0,Davies,López,,2:59,N,23985,.94,-,
98,Friday Jul 19,boxscore,ARI,,MIL,W,10,7,,50-48,2,14.0,Bradley,Chacín,Holland,3:44,N,28505,.87,+,
