Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
30,Monday Aug 24,boxscore,ARI,,COL,L,2,3,,13-17,5,9.0,Castellani,Widener,Bard,3:19,N,,1.32,------,
31,Tuesday Aug 25,boxscore,ARI,,COL,L,4,5,,13-18,5,9.0,Díaz,Crichton,Bard,3:52,N,,1.22,-------,
32,Wednesday Aug 26,boxscore,ARI,,COL,L,7,8,,13-19,5,9.5,Gray,Ray,Hoffman,3:43,N,,1.09,--------,
33,Friday Aug 28,boxscore,ARI,,SFG,W,7,4,,14-19,5,9.5,Gallen,Anderson,,2:49,N,,.92,+,
34,Saturday Aug 29,boxscore,ARI,,SFG,L,2,5,,14-20,5,10.5,García,Weaver,Rogers,3:12,N,,1.04,-,
35,Sunday Aug 30,boxscore,ARI,,SFG,L,1,4,,14-21,5,11.5,Watson,Crichton,Coonrod,2:55,D,,.90,--,
36,Tuesday Sep 1,boxscore,ARI,@,LAD,L,3,6,,14-22,5,12.5,Urías,Young,Jansen,2:46,N,,.71,---,
37,Wednesday Sep 2,boxscore,ARI,@,LAD,L-wo,2,3,10,14-23,5,13.5,Jansen,Guerra,,3:11,N,,.55,----,
38,Thursday Sep 3,boxscore,ARI,@,LAD,L,1,5,,14-24,5,14.5,Kershaw,Weaver,,2:58,N,,.44,-----,
39,Friday Sep 4,boxscore,ARI,@,SFG,W,6,5,,15-24,5,14.5,Bergen,Anderson,Ginkel,3:32,N,,.35,+,
40,Saturday Sep 5,boxscore,ARI,@,SFG,L,3,4,,15-25,5,14.5,Baragar,Bumgarner,Watson,3:06,N,,.54,-,
41,Sunday Sep 6,boxscore,ARI,@,SFG,L,2,4,,15-26,5,14.5,Baragar,Young,Rogers,2:52,D,,.31,--,
42,Monday Sep 7,boxscore,ARI,@,SFG,L,2,4,,15-27,5,15.0,Gausman,Gallen,Coonrod,2:56,N,,.18,---,
43,Tuesday Sep 8,boxscore,ARI,,LAD,L,9,10,10,15-28,5,16.0,Jansen,López,,4:25,N,,.08,----,
44,Wednesday Sep 9,boxscore,ARI,,LAD,L,4,6,10,15-29,5,17.0,McGee,Ginkel,Treinen,3:20,N,,.03,-----,
45,Thursday Sep 10,boxscore,ARI,,LAD,W,5,2,,16-29,5,16.0,Smith,Gonsolin,Bergen,3:31,N,,.01,+,
46,Friday Sep 11,boxscore,ARI,,SEA,W,4,3,,17-29,5,15.5,Young,Kikuchi,Crichton,2:32,N,,.02,++,
47,Saturday Sep 12,boxscore,ARI,,SEA,L,3,7,,17-30,5,15.5,Sheffield,Gallen,,2:45,N,,.02,-,
48,Sunday Sep 13,boxscore,ARI,,SEA,L,3,7,,17-31,5,16.5,Sadler,Weaver,,3:32,D,,.02,--,
49,Tuesday Sep 15,boxscore,ARI,@,LAA,W,9,8,,18-31,5,16.0,Mella,Andriese,Crichton,3:06,N,,.00,+,
50,Wednesday Sep 16,boxscore,ARI,@,LAA,W,9,6,,19-31,5,16.0,Clarke,Bundy,Crichton,3:10,N,,.01,++,
51,Thursday Sep 17,boxscore,ARI,@,LAA,L,3,7,,19-32,5,17.0,Canning,Young,,3:07,D,,.01,-,
52,Friday Sep 18,boxscore,ARI,@,HOU,W,6,3,,20-32,5,17.0,Gallen,Garcia,Crichton,3:08,N,,.00,+,
53,Saturday Sep 19,boxscore,ARI,@,HOU,L,2,3,,20-33,5,18.0,Paredes,Weaver,Pressly,2:37,N,,.00,-,
54,Sunday Sep 20,boxscore,ARI,@,HOU,L,2,3,,20-34,5,18.0,Taylor,Guerra,Pressly,3:04,D,,.00,--,
55,Tuesday Sep 22,boxscore,ARI,,TEX,W,7,0,,21-34,5,18.0,Smith,Lyles,,2:56,N,,.00,+,
56,Wednesday Sep 23,boxscore,ARI,,TEX,W,7,3,,22-34,5,17.0,Mella,Goody,,2:57,D,,.00,++,
57,Friday Sep 25 (1),boxscore,ARI,,COL,W,4,0,7,23-34,5,17.0,Gallen,Senzatela,Crichton,2:36,D,,.00,+++,2020-08-27 (Boycott (racial justice); (Game2))
58,Friday Sep 25 (2),boxscore,ARI,,COL,W,11,5,7,24-34,5,17.0,Clarke,Santos,,2:58,N,,.00,++++,
59,Saturday Sep 26,boxscore,ARI,,COL,L,3,10,,24-35,5,18.0,Márquez,Weaver,,3:03,N,,.00,-,
60,Sunday Sep 27,boxscore,ARI,,COL,W,11,3,,25-35,5,18.0,Bumgarner,Freeland,,2:54,D,,.00,+,

1,Friday Jul 24,boxscore,ATL,@,NYM,L,0,1,,0-1,3,1.0,Lugo,Martin,Díaz,2:25,D,,1.20,-,
2,Saturday Jul 25,boxscore,ATL,@,NYM,W,5,3,10,1-1,1,Tied,Jackson,Strickland,,3:21,D,,1.20,+,
3,Sunday Jul 26,boxscore,ATL,@,NYM,W,14,1,,2-1,1,Tied,Chacín,Porcello,,3:20,N,,1.21,++,
4,Monday Jul 27,boxscore,ATL,@,TBR,L,5,14,,2-2,2,0.5,Castillo,Foltynewicz,,3:03,N,,1.10,-,
5,Tuesday Jul 28,boxscore,ATL,@,TBR,L,2,5,,2-3,3,1.0,Fairbanks,Wright,Drake,3:03,N,,1.10,--,
6,Wednesday Jul 29,boxscore,ATL,,TBR,W,7,4,,3-3,2,0.5,O'Day,Drake,Melancon,3:22,N,,1.08,+,
7,Thursday Jul 30,boxscore,ATL,,TBR,W,2,1,,4-3,1,Tied,Fried,Yarbrough,Melancon,2:40,N,,1.10,++,
8,Friday Jul 31,boxscore,ATL,,NYM,W,11,10,,5-3,1,up 0.5,Dayton,Lugo,Martin,3:35,N,,1.26,+++,
9,Saturday Aug 1,boxscore,ATL,,NYM,W,7,1,,6-3,1,up 1.0,Tomlin,Wacha,,3:21,N,,1.24,++++,
10,Sunday Aug 2,boxscore,ATL,,NYM,W,4,0,,7-3,1,up 1.5,Matzek,Peterson,,3:06,D,,1.19,+++++,
11,Monday Aug 3,boxscore,ATL,,NYM,L,2,7,,7-4,1,up 1.0,deGrom,Soroka,,3:16,N,,1.15,-,
12,Tuesday Aug 4,boxscore,ATL,,TOR,W,10,1,,8-4,1,up 1.0,Fried,Shoemaker,,3:06,N,,1.09,+,
13,Wednesday Aug 5,boxscore,ATL,,TOR,L,1,2,,8-5,2,0.5,Ryu,Newcomb,Bass,3:00,N,,1.03,-,
14,Thursday Aug 6,boxscore,ATL,,TOR,W-wo,4,3,,9-5,2,0.5,Melancon,Font,,2:37,N,,1.10,+,
15,Saturday Aug 8,boxscore,ATL,@,PHI,L,0,5,,9-6,2,1.0,Arrieta,Wright,,2:31,N,,1.21,-,
16,Sunday Aug 9 (1),boxscore,ATL,@,PHI,W,5,2,7,10-6,1,up 0.5,Matzek,Guerra,Melancon,2:59,D,,1.29,+,2020-08-07 (Rain; (Game2))
17,Sunday Aug 9 (2),boxscore,ATL,@,PHI,W,8,0,7,11-6,1,up 0.5,Fried,Howard,,2:29,D,,1.28,++,
18,Monday Aug 10,boxscore,ATL,@,PHI,L,8,13,,11-7,1,Tied,Nola,Newcomb,,2:54,N,,1.13,-,
19,Tuesday Aug 11,boxscore,ATL,@,NYY,L,6,9,,11-8,1,Tied,Montgomery,Toussaint,Britton,3:18,N,,1.08,--,
20,Wednesday Aug 12,boxscore,ATL,@,NYY,L,3,6,,11-9,2,1.0,Loáisiga,Matzek,Britton,3:40,N,,1.13,---,
21,Friday Aug 14,boxscore,ATL,@,MIA,L,2,8,,11-10,2,2.0,López,Wright,,2:59,N,,1.33,----,
22,Saturday Aug 15,boxscore,ATL,@,MIA,W,2,1,,12-10,2,1.0,Smith,Kintzler,Melancon,2:59,N,,1.39,+,
23,Sunday Aug 16,boxscore,ATL,@,MIA,W,4,0,,13-10,1,Tied,O'Day,Vincent,,2:58,D,,1.33,++,
24,Monday Aug 17,boxscore,ATL,,WSN,W-wo,7,6,,14-10,1,up 1.0,Smith,Hudson,,3:35,N,,1.31,+++,
25,Tuesday Aug 18,boxscore,ATL,,WSN,L,5,8,,14-11,1,up 1.0,Suero,Matzek,Hudson,3:44,N,,1.21,-,
26,Friday Aug 21,boxscore,ATL,,PHI,W,11,2,,15-11,1,up 1.5,Fried,Nola,,3:18,N,,1.31,+,
27,Saturday Aug 22,boxscore,ATL,,PHI,W-wo,6,5,,16-11,1,up 2.0,Melancon,Workman,,3:18,N,,1.19,++,
28,Sunday Aug 23,boxscore,ATL,,PHI,L,4,5,,16-12,1,up 2.0,Eflin,Tomlin,Workman,3:17,N,,1.09,-,
29,Wednesday Aug 26 (1),boxscore,ATL,,NYY,W,5,1,7,17-12,1,up 2.0,Anderson,Cole,,2:05,D,,1.08,+,2020-08-25 (Rain; (Game2))
30,Wednesday Aug 26 (2),boxscore,ATL,,NYY,W,2,1,7,18-12,1,up 2.0,Fried,Green,Melancon,1:58,N,,1.00,++,
31,Friday Aug 28,boxscore,ATL,@,PHI,L-wo,4,7,11,18-13,1,up 2.0,Parker,Melancon,,4:07,N,,1.00,-,
32,Saturday Aug 29,boxscore,ATL,@,PHI,L,1,4,,18-14,1,up 2.0,Eflin,Tomlin,Workman,2:33,D,,1.15,--,
33,Sunday Aug 30,boxscore,ATL,@,PHI,W,12,10,,19-14,1,up 3.0,Minter,Arrieta,Melancon,4:13,N,,1.27,+,
34,Monday Aug 31,boxscore,ATL,@,BOS,W,6,3,,20-14,1,up 3.0,Fried,Brewer,Melancon,3:19,N,,.87,++,
35,Tuesday Sep 1,boxscore,ATL,@,BOS,W,10,3,,21-14,1,up 3.0,Anderson,Stock,,3:05,N,,.73,+++,
36,Wednesday Sep 2,boxscore,ATL,@,BOS,W,7,5,,22-14,1,up 3.0,Matzek,Triggs,Melancon,3:01,N,,.63,++++,
37,Friday Sep 4 (1),boxscore,ATL,,WSN,W,7,1,7,23-14,1,up 2.0,O'Day,Voth,,2:30,D,,.58,+++++,2020-08-19 (Rain; (Game 2))
38,Friday Sep 4 (2),boxscore,ATL,,WSN,L,9,10,7,23-15,1,up 2.0,Suero,Smith,Hudson,3:12,N,,.48,-,
39,Saturday Sep 5,boxscore,ATL,,WSN,L,4,10,,23-16,1,up 2.0,McGowin,Matzek,,3:31,N,,.53,--,
40,Sunday Sep 6,boxscore,ATL,,WSN,W,10,3,,24-16,1,up 3.0,Tomlin,Corbin,,3:26,D,,.70,+,
41,Monday Sep 7,boxscore,ATL,,MIA,L,4,5,10,24-17,1,up 2.0,Kintzler,Minter,Vincent,3:52,D,,.64,-,
42,Tuesday Sep 8,boxscore,ATL,,MIA,L,0,8,,24-18,1,up 1.5,Sánchez,Wright,,3:12,N,,.86,--,
43,Wednesday Sep 9,boxscore,ATL,,MIA,W,29,9,,25-18,1,up 2.0,Dayton,López,Wilson,4:14,N,,1.00,+,
44,Thursday Sep 10,boxscore,ATL,@,WSN,W,7,6,,26-18,1,up 3.0,Martin,Rainey,Melancon,3:40,N,,.70,++,
45,Friday Sep 11,boxscore,ATL,@,WSN,L-wo,7,8,12,26-19,1,up 2.5,Bourque,Dayton,,4:48,N,,.50,-,
46,Saturday Sep 12,boxscore,ATL,@,WSN,W,2,1,,27-19,1,up 2.5,Anderson,Corbin,Melancon,3:04,N,,.67,+,
47,Sunday Sep 13,boxscore,ATL,@,WSN,W,8,4,,28-19,1,up 3.5,Wright,Scherzer,,3:37,D,,.48,++,
48,Monday Sep 14,boxscore,ATL,@,BAL,L,1,14,,28-20,1,up 2.5,López,Toussaint,,2:54,N,,.36,-,
49,Tuesday Sep 15,boxscore,ATL,@,BAL,W,5,1,,29-20,1,up 3.5,O'Day,Eshelman,,2:57,N,,.38,+,
50,Wednesday Sep 16,boxscore,ATL,@,BAL,L,1,5,,29-21,1,up 2.5,Akin,Hamels,,2:35,N,,.34,-,
51,Friday Sep 18,boxscore,ATL,@,NYM,W,15,2,,30-21,1,up 3.5,Fried,Matz,,3:39,N,,.35,+,
52,Saturday Sep 19,boxscore,ATL,@,NYM,L,2,7,,30-22,1,up 2.5,Peterson,Anderson,,3:32,N,,.30,-,
53,Sunday Sep 20,boxscore,ATL,@,NYM,W,7,0,,31-22,1,up 3.0,Wright,Porcello,,3:09,D,,.36,+,
54,Monday Sep 21,boxscore,ATL,,MIA,W,5,4,,32-22,1,up 4.0,Matzek,Rogers,Melancon,3:30,N,,.41,++,
55,Tuesday Sep 22,boxscore,ATL,,MIA,W,11,1,,33-22,1,up 5.0,Wilson,Ureña,,2:50,N,,.23,+++,
56,Wednesday Sep 23,boxscore,ATL,,MIA,W,9,4,,34-22,1,up 6.0,Jackson,Smith,,3:01,N,,.06,++++,
57,Thursday Sep 24,boxscore,ATL,,MIA,L,2,4,,34-23,1,up 5.0,López,Anderson,Kintzler,3:35,N,,.11,-,
58,Friday Sep 25,boxscore,ATL,,BOS,W-wo,8,7,11,35-23,1,up 5.0,Greene,Springs,,3:59,N,,.11,+,
59,Saturday Sep 26,boxscore,ATL,,BOS,L,2,8,,35-24,1,up 5.0,Houck,Davidson,,3:22,N,,.13,-,
60,Sunday Sep 27,boxscore,ATL,,BOS,L,1,9,,35-25,1,up 4.0,Pivetta,Smith,,3:23,D,,.13,--,

1,Friday Jul 24,boxscore,BAL,@,BOS,L,2,13,,0-1,4,1.0,Eovaldi,Milone,,3:18,N,,1.19,-,
2,Saturday Jul 25,boxscore,BAL,@,BOS,W,7,2,,1-1,1,Tied,Cobb,Pérez,,3:01,D,,1.16,+,
3,Sunday Jul 26,boxscore,BAL,@,BOS,W,7,4,,2-1,1,Tied,LeBlanc,Weber,Sulser,3:13,D,,1.21,++,
4,Wednesday Jul 29,boxscore,BAL,,NYY,L,3,9,,2-2,3,1.0,Cole,Wojciechowski,,3:12,N,,1.19,-,2020-08-03 (Schedule change (Covid))
5,Thursday Jul 30,boxscore,BAL,,NYY,L,6,8,,2-3,3,2.0,Loáisiga,Sulser,Britton,3:06,N,,1.21,--,2020-08-04 (Schedule change (Covid))
6,Friday Jul 31,boxscore,BAL,,TBR,W,6,3,,3-3,2,2.0,Fry,Fairbanks,Sulser,3:36,N,,1.22,+,
7,Saturday Aug 1,boxscore,BAL,,TBR,W-wo,5,4,11,4-3,2,2.0,Lakins,Drake,,3:50,N,,1.22,++,
8,Sunday Aug 2,boxscore,BAL,,TBR,W,5,1,,5-3,2,2.0,Phillips,Beeks,Sulser,2:56,D,,1.25,+++,
9,Tuesday Aug 4,boxscore,BAL,,MIA,L,0,4,,5-4,2,3.0,López,Means,,2:38,N,,1.10,-,2020-07-29 (Covid)
10,Wednesday Aug 5 (1),boxscore,BAL,,MIA,L,0,1,7,5-5,2,4.0,Vincent,Cobb,Kintzler,2:19,N,,1.10,--,2020-07-27 (Covid; Played at BAL; MIA was home team (Game2))
11,Wednesday Aug 5 (2),boxscore,BAL,,MIA,L,1,2,7,5-6,2,4.0,Moran,Wojciechowski,Tarpley,2:06,D,,1.13,---,2020-07-30 (Covid; (Game1))
12,Thursday Aug 6,boxscore,BAL,,MIA,L,7,8,,5-7,2,4.0,Morin,Phillips,Kintzler,2:58,N,,1.14,----,2020-07-28 (Covid; Played at BAL; MIA was home team)
13,Friday Aug 7,boxscore,BAL,@,WSN,W,11,0,,6-7,2,3.0,Milone,Sánchez,,3:00,N,,1.11,+,
14,Saturday Aug 8,boxscore,BAL,@,WSN,W,5,3,,7-7,2,2.5,Armstrong,Hudson,Castro,3:27,N,,1.15,++,
15,Sunday Aug 9,boxscore,BAL,@,WSN,W,6,2,,8-7,2,1.5,Lakins,Strasburg,,3:11,N,,1.19,+++,
16,Tuesday Aug 11,boxscore,BAL,@,PHI,W,10,9,10,9-7,2,1.5,Sulser,Guerra,Lakins,4:00,N,,1.16,++++,
17,Wednesday Aug 12,boxscore,BAL,@,PHI,W,5,4,,10-7,2,1.5,Armstrong,Eflin,Sulser,3:28,N,,1.18,+++++,
18,Thursday Aug 13,boxscore,BAL,@,PHI,W,11,4,,11-7,2,1.0,Eshelman,Arrieta,,3:29,D,,1.14,++++++,
19,Friday Aug 14,boxscore,BAL,,WSN,L,3,15,,11-8,2,2.0,Fedde,Milone,,3:10,N,,1.12,-,
20,Saturday Aug 15,boxscore,BAL,,WSN,W,7,3,,12-8,2,2.0,Wojciechowski,Corbin,Sulser,3:10,N,,1.20,+,
21,Sunday Aug 16,boxscore,BAL,,WSN,L,5,6,,12-9,3,3.0,Scherzer,Lakins,Hudson,3:38,D,,1.10,-,
22,Monday Aug 17,boxscore,BAL,,TOR,L,2,7,,12-10,3,4.0,Ryu,Cobb,,2:45,N,,1.28,--,
23,Tuesday Aug 18,boxscore,BAL,,TOR,L,7,8,10,12-11,3,4.0,Bass,Sulser,,3:57,N,,1.38,---,
24,Wednesday Aug 19,boxscore,BAL,,TOR,L,2,5,,12-12,3,4.0,Roark,Milone,Dolis,3:00,D,,1.43,----,
25,Thursday Aug 20,boxscore,BAL,,BOS,L,1,7,,12-13,4,4.5,Eovaldi,Wojciechowski,,3:26,N,,1.28,-----,
26,Friday Aug 21,boxscore,BAL,,BOS,L,5,8,,12-14,4,4.5,Hernandez,Means,Barnes,3:04,N,,1.21,------,
27,Saturday Aug 22,boxscore,BAL,,BOS,W-wo,5,4,10,13-14,4,4.5,Castro,Barnes,,3:36,N,,1.14,+,
28,Sunday Aug 23,boxscore,BAL,,BOS,W,5,4,,14-14,3,4.5,Eshelman,Godley,Scott,3:17,D,,1.20,++,
29,Tuesday Aug 25,boxscore,BAL,@,TBR,L,2,4,,14-15,4,5.0,Glasnow,Milone,García,2:41,N,,1.36,-,
30,Wednesday Aug 26,boxscore,BAL,@,TBR,L,3,4,,14-16,4,6.0,Sherriff,Givens,Castillo,3:26,N,,1.29,--,
31,Friday Aug 28,boxscore,BAL,@,TOR,L-wo,4,5,10,14-17,4,7.0,Dolis,Sulser,,3:19,N,,1.39,---,2020-08-28 (Played at Buffalo)
32,Saturday Aug 29,boxscore,BAL,@,TOR,L,0,5,,14-18,4,8.0,Walker,Cobb,,2:44,N,,1.27,----,2020-08-29 (Played at Buffalo)
33,Sunday Aug 30,boxscore,BAL,@,TOR,L-wo,5,6,,14-19,4,9.0,Bass,Sulser,,2:58,D,,1.09,-----,2020-08-30 (Played at Buffalo)
34,Monday Aug 31,boxscore,BAL,@,TOR,W,4,3,11,15-19,4,9.0,Valdez,Bass,,3:38,D,,.85,+,2020-08-31 (Played at Buffalo)
35,Tuesday Sep 1,boxscore,BAL,,NYM,W,9,5,,16-19,4,8.0,Eshelman,Kilome,,2:59,N,,.87,++,
36,Wednesday Sep 2,boxscore,BAL,,NYM,L,4,9,,16-20,4,9.0,Peterson,Means,,3:12,D,,.98,-,
37,Friday Sep 4 (1),boxscore,BAL,,NYY,L,5,6,9,16-21,4,9.5,Holder,Lakins,Green,3:37,N,,1.04,--,2020-08-05 (Schedule change (Covid); (Game2))
38,Friday Sep 4 (2),boxscore,BAL,,NYY,W,6,3,7,17-21,4,9.5,López,García,Valdez,2:31,N,,.78,+,
39,Saturday Sep 5,boxscore,BAL,,NYY,W,6,1,,18-21,4,8.5,Tate,Cole,,2:47,N,,1.00,++,
40,Sunday Sep 6,boxscore,BAL,,NYY,W,5,1,,19-21,4,8.5,Kremer,Tanaka,,3:02,D,,1.28,+++,
41,Tuesday Sep 8,boxscore,BAL,@,NYM,W,11,2,,20-21,4,7.0,Means,Wacha,,3:01,N,,1.10,++++,
42,Wednesday Sep 9,boxscore,BAL,@,NYM,L,6,7,,20-22,4,7.5,Familia,Harvey,Díaz,3:25,N,,1.29,-,
43,Friday Sep 11 (1),boxscore,BAL,@,NYY,L,0,6,7,20-23,4,8.5,Cole,Cobb,,2:02,D,,1.71,--,2020-09-10 (Rain; (Game2))
44,Friday Sep 11 (2),boxscore,BAL,@,NYY,L,1,10,7,20-24,4,8.5,Tanaka,Akin,,2:40,N,,1.45,---,
45,Saturday Sep 12,boxscore,BAL,@,NYY,L-wo,1,2,10,20-25,4,9.5,Holder,Harvey,,3:11,D,,1.23,----,
46,Sunday Sep 13,boxscore,BAL,@,NYY,L,1,3,,20-26,4,9.5,Britton,Tate,Chapman,2:44,D,,.82,-----,
47,Monday Sep 14,boxscore,BAL,,ATL,W,14,1,,21-26,4,9.0,López,Toussaint,,2:54,N,,.33,+,
48,Tuesday Sep 15,boxscore,BAL,,ATL,L,1,5,,21-27,4,10.0,O'Day,Eshelman,,2:57,N,,.47,-,
49,Wednesday Sep 16,boxscore,BAL,,ATL,W,5,1,,22-27,4,9.0,Akin,Hamels,,2:35,N,,.32,+,
50,Thursday Sep 17 (1),boxscore,BAL,,TBR,L,1,3,7,22-28,4,11.0,Castillo,Valdez,,2:28,D,,.50,-,2020-08-27 (Boycott (racial justice); Played at BAL; TBA was home team; (Game2))
51,Thursday Sep 17 (2),boxscore,BAL,,TBR,L,6,10,7,22-29,4,11.0,Fairbanks,Sulser,,2:38,N,,.33,--,
52,Friday Sep 18,boxscore,BAL,,TBR,L,1,2,,22-30,4,12.0,Glasnow,Cobb,Sherriff,2:59,N,,.22,---,
53,Saturday Sep 19,boxscore,BAL,,TBR,L,1,3,,22-31,4,13.0,Morton,López,Thompson,3:04,N,,.19,----,
54,Sunday Sep 20,boxscore,BAL,,TBR,W,2,1,,23-31,4,12.0,Means,Yarbrough,Valdez,2:31,D,,.12,+,
55,Tuesday Sep 22,boxscore,BAL,@,BOS,L,3,8,,23-32,4,12.5,Pivetta,Akin,Barnes,3:31,N,,.06,-,
56,Wednesday Sep 23,boxscore,BAL,@,BOS,L,1,9,,23-33,4,13.5,Eovaldi,Kremer,,3:04,N,,.04,--,
57,Thursday Sep 24,boxscore,BAL,@,BOS,W,13,1,,24-33,4,13.0,Cobb,Pérez,,3:14,N,,.00,+,
58,Friday Sep 25,boxscore,BAL,@,TOR,L,5,10,,24-34,4,14.0,Pearson,López,,2:41,N,,.00,-,2020-09-25 (Played at Buffalo)
59,Saturday Sep 26,boxscore,BAL,@,TOR,L,2,5,,24-35,4,15.0,Anderson,Means,Bass,2:58,N,,.00,--,2020-09-26 (Played at Buffalo)
60,Sunday Sep 27,boxscore,BAL,@,TOR,W,7,5,,25-35,4,15.0,Lakins,Yamaguchi,Valdez,2:52,D,,.00,+,2020-09-27 (Played at Buffalo)

1,Friday Jul 24,boxscore,BAL,@,BOS,L,2,13,,0-1,4,1.0,Eovaldi,Milone,,3:18,N,,1.19,-,
2,Saturday Jul 25,boxscore,BAL,@,BOS,W,7,2,,1-1,1,Tied,Cobb,Pérez,,3:01,D,,1.16,+,
3,Sunday Jul 26,boxscore,BAL,@,BOS,W,7,4,,2-1,1,Tied,LeBlanc,Weber,Sulser,3:13,D,,1.21,++,
4,Wednesday Jul 29,boxscore,BAL,,NYY,L,3,9,,2-2,3,1.0,Cole,Wojciechowski,,3:12,N,,1.19,-,2020-08-03 (Schedule change (Covid))
5,Thursday Jul 30,boxscore,BAL,,NYY,L,6,8,,2-3,3,2.0,Loáisiga,Sulser,Britton,3:06,N,,1.21,--,2020-08-04 (Schedule change (Covid))
6,Friday Jul 31,boxscore,BAL,,TBR,W,6,3,,3-3,2,2.0,Fry,Fairbanks,Sulser,3:36,N,,1.22,+,
7,Saturday Aug 1,boxscore,BAL,,TBR,W-wo,5,4,11,4-3,2,2.0,Lakins,Drake,,3:50,N,,1.22,++,
8,Sunday Aug 2,boxscore,BAL,,TBR,W,5,1,,5-3,2,2.0,Phillips,Beeks,Sulser,2:56,D,,1.25,+++,
9,Tuesday Aug 4,boxscore,BAL,,MIA,L,0,4,,5-4,2,3.0,López,Means,,2:38,N,,1.10,-,2020-07-29 (Covid)
