Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
1,ARI,2022-04-07,,SDP,W 4-2,34,26,4,3,2,0,0,1,3,0,0,7,6,.115,.324,.231,.554,6,1,1,0,0,0
2,ARI,2022-04-08,,SDP,L 0-3,30,29,0,2,2,0,0,0,0,0,0,1,8,.069,.100,.069,.169,2,0,0,0,0,0
3,ARI,2022-04-09,,SDP,L 2-5,33,31,2,5,2,2,0,1,2,0,0,2,10,.161,.212,.323,.535,10,1,0,0,0,0
4,ARI,2022-04-10,,SDP,L 5-10,39,30,5,5,2,1,0,2,5,1,0,9,10,.167,.359,.400,.759,12,2,0,0,0,0
5,ARI,2022-04-12,,HOU,L 1-2,36,30,1,4,2,1,0,1,1,0,0,5,7,.133,.257,.267,.524,8,0,0,1,0,0
6,ARI,2022-04-13,,HOU,W 3-2 (10),47,33,3,6,6,0,0,0,3,2,0,9,13,.182,.391,.182,.573,6,0,3,1,1,0
7,ARI,2022-04-15,@,NYM,L 3-10,35,29,3,3,0,2,0,1,3,0,1,5,11,.103,.257,.276,.533,8,0,1,0,0,0
8,ARI,2022-04-16,@,NYM,W 3-2,40,36,3,9,6,2,0,1,3,2,0,4,16,.250,.325,.389,.714,14,0,0,0,0,2
9,ARI,2022-04-17,@,NYM,L 0-5,36,32,0,5,3,2,0,0,0,0,0,4,10,.156,.250,.219,.469,7,0,0,0,0,0
10,ARI,2022-04-19 (1),@,WSN,L 1-6,34,31,1,6,3,2,0,1,1,0,1,3,12,.194,.265,.355,.620,11,1,0,0,0,0
11,ARI,2022-04-19 (2),@,WSN,L 0-1,35,32,0,5,4,1,0,0,0,0,0,3,9,.156,.229,.188,.416,6,0,0,0,0,0
12,ARI,2022-04-20,@,WSN,W 11-2,42,35,11,10,7,2,0,1,10,1,0,4,4,.286,.333,.429,.762,15,1,0,0,3,0
13,ARI,2022-04-21,@,WSN,W 4-3,39,35,4,9,5,1,0,3,4,0,1,2,8,.257,.333,.543,.876,19,0,2,0,0,0
14,ARI,2022-04-22,,NYM,L 5-6 (10),40,36,5,8,3,3,0,2,5,0,0,3,11,.222,.275,.472,.747,17,0,0,0,1,0
15,ARI,2022-04-23,,NYM,W 5-2,38,34,5,11,8,2,1,0,5,1,0,3,7,.324,.368,.441,.810,15,0,0,0,1,0
16,ARI,2022-04-24,,NYM,L 2-6,34,33,2,6,3,2,0,1,2,0,0,1,9,.182,.206,.333,.539,11,0,0,0,0,0
17,ARI,2022-04-25,,LAD,L 0-4,31,30,0,3,3,0,0,0,0,0,0,0,10,.100,.129,.100,.229,3,0,1,0,0,0
18,ARI,2022-04-26,,LAD,W 5-3,33,29,5,4,2,1,0,1,4,0,0,3,10,.138,.242,.276,.518,8,0,1,0,0,0
19,ARI,2022-04-27,,LAD,W 3-1,31,26,3,2,1,0,0,1,2,0,0,4,4,.077,.200,.192,.392,5,1,0,1,0,0
20,ARI,2022-04-28,@,STL,L 3-8,37,33,3,6,3,2,0,1,3,0,0,4,7,.182,.270,.333,.604,11,0,0,0,0,0
21,ARI,2022-04-29,@,STL,W 6-2,40,33,6,9,6,3,0,0,6,0,0,6,8,.273,.375,.364,.739,12,2,0,0,1,0
22,ARI,2022-04-30,@,STL,W 2-0,33,33,2,5,2,1,0,2,2,1,0,0,8,.152,.152,.364,.515,12,1,0,0,0,0
23,ARI,2022-05-01,@,STL,L 5-7,37,33,5,7,1,1,1,4,5,0,1,3,12,.212,.297,.667,.964,22,0,1,0,0,0
24,ARI,2022-05-02,@,MIA,W 5-4,37,34,5,9,6,2,0,1,5,1,1,3,12,.265,.324,.412,.736,14,1,0,0,0,0
25,ARI,2022-05-03,@,MIA,W 5-4,40,36,5,9,4,3,0,2,5,1,0,4,10,.250,.325,.500,.825,18,0,0,0,0,0
