Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
1,ARI,2019-03-28,@,LAD,L 5-12,35,33,5,9,3,4,0,2,5,0,0,0,10,.273,.257,.576,.833,19,1,0,0,2,0
2,ARI,2019-03-29,@,LAD,W 5-4 (13),56,50,5,10,6,3,0,1,5,1,0,6,15,.200,.286,.320,.606,16,0,0,0,0,2
3,ARI,2019-03-30,@,LAD,L 5-18,35,32,5,7,3,0,0,4,5,0,0,3,7,.219,.286,.594,.879,19,2,0,0,0,0
4,ARI,2019-03-31,@,LAD,L 7-8,40,39,7,13,9,2,1,1,7,2,0,1,4,.333,.350,.513,.863,20,1,0,0,0,0
5,ARI,2019-04-01,@,SDP,W 10-3,45,40,10,15,9,5,0,1,9,1,0,4,8,.375,.422,.575,.997,23,1,0,0,1,0
6,ARI,2019-04-02,@,SDP,W 8-5,45,41,8,14,6,3,0,5,7,2,0,4,8,.341,.400,.780,1.180,32,0,0,0,0,0
7,ARI,2019-04-03,@,SDP,L 1-4,34,33,1,7,2,5,0,0,1,0,0,1,11,.212,.235,.364,.599,12,1,0,0,0,0
8,ARI,2019-04-05,,BOS,W 15-8,45,40,15,18,9,4,0,5,14,0,1,4,8,.450,.500,.925,1.425,37,1,0,0,0,1
9,ARI,2019-04-06,,BOS,W 5-4,35,34,5,11,9,2,0,0,5,0,0,1,6,.324,.343,.382,.725,13,1,0,0,0,0
10,ARI,2019-04-07,,BOS,L 0-1,31,29,0,3,1,2,0,0,0,0,0,1,8,.103,.133,.172,.306,5,0,0,1,0,0
11,ARI,2019-04-09,,TEX,W 5-4,35,33,5,9,4,2,0,3,5,0,0,2,7,.273,.314,.606,.920,20,1,0,0,0,0
12,ARI,2019-04-10,,TEX,L 2-5,39,33,2,6,5,1,0,0,1,0,0,3,12,.182,.308,.212,.520,7,0,3,0,0,0
13,ARI,2019-04-11,,SDP,L 6-7,43,36,6,8,7,0,0,1,6,1,0,6,11,.222,.349,.306,.654,11,0,1,0,0,0
14,ARI,2019-04-12,,SDP,L 1-2,31,30,1,3,1,2,0,0,1,0,0,1,9,.100,.129,.167,.296,5,0,0,0,0,0
15,ARI,2019-04-13,,SDP,L 4-5,41,35,4,10,6,4,0,0,4,0,1,4,9,.286,.390,.400,.790,14,1,2,0,0,0
16,ARI,2019-04-14,,SDP,W 8-4,36,35,8,13,7,3,0,3,7,0,0,1,8,.371,.389,.714,1.103,25,1,0,0,0,0
17,ARI,2019-04-16,@,ATL,W 9-6,47,37,9,12,8,3,0,1,9,0,0,7,7,.324,.468,.486,.955,18,1,3,0,0,2
18,ARI,2019-04-17,@,ATL,W 3-2 (10),41,37,3,6,4,1,0,1,3,2,0,4,14,.162,.244,.270,.514,10,0,0,0,0,0
19,ARI,2019-04-18,@,ATL,W 4-1,44,39,4,10,5,4,0,1,4,2,0,3,9,.256,.341,.436,.777,17,0,2,0,0,1
20,ARI,2019-04-19,@,CHC,L 1-5,35,33,1,7,6,1,0,0,1,1,1,2,14,.212,.257,.242,.500,8,0,0,0,0,0
21,ARI,2019-04-20,@,CHC,W 6-0,42,35,6,13,8,2,0,3,5,0,0,4,11,.371,.425,.686,1.111,24,1,0,2,1,0
22,ARI,2019-04-21,@,CHC,L 1-2,30,28,1,3,2,0,0,1,1,0,0,2,6,.107,.167,.214,.381,6,2,0,0,0,0
23,ARI,2019-04-22,@,PIT,W 12-4,48,44,12,17,12,2,1,2,12,0,0,4,6,.386,.438,.614,1.051,27,0,0,0,0,0
24,ARI,2019-04-23,@,PIT,W 2-1,34,32,2,6,4,2,0,0,2,0,0,2,6,.188,.235,.250,.485,8,1,0,0,0,0
25,ARI,2019-04-24,@,PIT,W 11-2,42,39,11,15,7,4,1,3,10,0,0,1,8,.385,.390,.769,1.159,30,0,0,1,1,0
26,ARI,2019-04-25,@,PIT,W 5-0,37,34,5,9,3,4,2,0,5,0,0,1,9,.265,.297,.500,.797,17,1,1,0,1,0
27,ARI,2019-04-26,,CHC,W 8-3,41,35,8,11,6,4,1,0,8,1,0,6,6,.314,.415,.486,.900,17,0,0,0,0,0
28,ARI,2019-04-27,,CHC,L 1-9,34,29,1,2,0,1,0,1,1,1,0,4,10,.069,.206,.207,.413,6,1,1,0,0,0
29,ARI,2019-04-28,,CHC,L 5-6 (15),61,54,5,12,7,2,1,2,5,0,0,7,13,.222,.311,.407,.719,22,2,0,0,0,0
30,ARI,2019-04-30,,NYY,W 3-1,33,29,3,7,3,3,0,1,3,0,0,3,7,.241,.303,.448,.751,13,1,0,0,1,0
31,ARI,2019-05-01,,NYY,W 3-2,31,29,3,5,3,1,0,1,2,0,0,2,10,.172,.226,.310,.536,9,0,0,0,0,0
32,ARI,2019-05-03,@,COL,W 10-9,42,40,10,12,5,3,0,4,10,0,0,2,8,.300,.333,.675,1.008,27,0,0,0,0,0
33,ARI,2019-05-04,@,COL,W 9-2,42,37,9,12,5,4,0,3,9,0,0,4,3,.324,.381,.676,1.057,25,1,0,0,1,1
34,ARI,2019-05-05,@,COL,L 7-8,41,38,7,11,7,2,0,2,7,2,0,2,10,.289,.317,.500,.817,19,0,0,0,1,0
35,ARI,2019-05-06,@,TBR,L 1-12,33,29,1,2,2,0,0,0,0,0,0,3,10,.069,.182,.069,.251,2,1,1,0,0,0
36,ARI,2019-05-07,@,TBR,L 3-6,37,34,3,7,3,2,0,2,3,1,0,2,11,.206,.270,.441,.711,15,0,1,0,0,0
37,ARI,2019-05-08,@,TBR,W 3-2 (13),52,44,3,9,8,1,0,0,3,0,0,8,19,.205,.327,.227,.554,10,3,0,0,0,0
38,ARI,2019-05-09,,ATL,W 3-2 (10),45,37,3,11,7,2,1,1,3,2,0,6,6,.297,.422,.486,.909,18,1,2,0,0,0
