Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
39,ARI,2019-05-10,,ATL,L 1-2,34,32,1,4,1,2,1,0,1,0,0,2,8,.125,.176,.250,.426,8,0,0,0,0,0
40,ARI,2019-05-11,,ATL,L 4-6,39,34,4,8,5,1,0,2,4,0,0,3,8,.235,.308,.441,.749,15,1,1,0,1,0
41,ARI,2019-05-12,,ATL,L 3-5,41,40,3,14,11,2,0,1,3,0,0,1,11,.350,.366,.475,.841,19,2,0,0,0,0
42,ARI,2019-05-13,,PIT,W 9-3,41,35,9,13,6,4,1,2,8,2,0,4,7,.371,.436,.714,1.150,25,0,0,2,0,0
43,ARI,2019-05-14,,PIT,L 2-6,32,30,2,4,3,0,0,1,2,0,0,2,9,.133,.188,.233,.421,7,1,0,0,0,0
44,ARI,2019-05-15,,PIT,W 11-1,40,35,11,11,5,3,0,3,11,3,0,4,12,.314,.375,.657,1.032,23,0,0,0,1,0
45,ARI,2019-05-17,,SFG,W 7-0,38,33,7,10,5,3,1,1,7,1,0,4,3,.303,.395,.545,.940,18,2,1,0,0,1
46,ARI,2019-05-18,,SFG,L 5-8,38,33,5,6,2,2,0,2,5,0,0,3,10,.182,.270,.424,.695,14,1,1,1,0,0
47,ARI,2019-05-19,,SFG,L 2-3 (10),40,32,2,3,2,1,0,0,1,0,0,6,9,.094,.256,.125,.381,4,0,1,1,0,0
48,ARI,2019-05-20,@,SDP,L 1-2,35,31,1,5,4,1,0,0,1,0,0,3,12,.161,.257,.194,.451,6,1,1,0,0,0
49,ARI,2019-05-21,@,SDP,L 2-3,32,31,2,5,3,0,0,2,2,0,0,0,8,.161,.161,.355,.516,11,0,0,1,0,0
50,ARI,2019-05-22,@,SDP,L 2-5,33,32,2,6,4,2,0,0,2,0,0,0,9,.188,.212,.250,.462,8,1,1,0,0,0
51,ARI,2019-05-24,@,SFG,W 18-2,55,49,18,21,16,1,0,4,17,0,0,3,12,.429,.491,.694,1.185,34,0,3,0,0,0
52,ARI,2019-05-25,@,SFG,W 10-4,43,38,10,13,6,5,1,1,8,0,0,3,5,.342,.372,.605,.977,23,1,0,0,2,1
53,ARI,2019-05-26,@,SFG,W 6-2,40,35,6,10,9,0,0,1,5,1,0,2,6,.286,.333,.371,.705,13,0,1,1,1,0
54,ARI,2019-05-27,@,COL,L 3-4 (11),44,40,3,9,6,1,1,1,3,2,0,3,6,.225,.273,.375,.648,15,1,0,0,1,0
55,ARI,2019-05-28,@,COL,L 2-6,39,35,2,9,6,2,0,1,2,1,0,2,4,.257,.316,.400,.716,14,1,1,1,0,1
56,ARI,2019-05-29,@,COL,L 4-5,39,35,4,11,7,2,0,2,4,0,1,3,11,.314,.368,.543,.911,19,1,0,1,0,0
57,ARI,2019-05-30,@,COL,L 10-11 (10),45,43,10,16,10,2,1,3,9,0,0,2,12,.372,.400,.674,1.074,29,3,0,0,0,0
58,ARI,2019-05-31,,NYM,L 4-5,37,35,4,8,5,0,1,2,4,1,0,2,9,.229,.270,.457,.727,16,0,0,0,0,1
59,ARI,2019-06-01,,NYM,W 6-5 (11),45,38,6,11,7,3,0,1,5,1,0,3,13,.289,.349,.447,.796,17,1,1,2,1,1
60,ARI,2019-06-02,,NYM,W 7-1,38,34,7,10,6,2,0,2,7,0,0,4,5,.294,.368,.529,.898,18,1,0,0,0,1
61,ARI,2019-06-03,,LAD,L 1-3,30,30,1,3,1,1,0,1,1,0,0,0,11,.100,.100,.233,.333,7,0,0,0,0,0
62,ARI,2019-06-04,,LAD,L 0-9,32,31,0,3,2,1,0,0,0,0,0,1,3,.097,.125,.129,.254,4,1,0,0,0,0
63,ARI,2019-06-05,,LAD,W 3-2 (11),40,35,3,5,2,2,1,0,3,1,0,4,11,.143,.250,.257,.507,9,0,1,0,0,1
64,ARI,2019-06-07,@,TOR,W 8-2,39,36,8,10,6,1,0,3,8,1,1,3,8,.278,.333,.556,.889,20,0,0,0,0,0
65,ARI,2019-06-08,@,TOR,W 6-0,40,35,6,10,7,1,0,2,6,1,1,4,4,.286,.350,.486,.836,17,0,0,0,1,0
66,ARI,2019-06-09,@,TOR,W 8-2,44,37,8,10,6,1,1,2,8,0,0,7,7,.270,.386,.514,.900,19,0,0,0,0,0
67,ARI,2019-06-10,@,PHI,W 13-8,46,40,13,14,5,1,0,8,13,1,0,6,9,.350,.435,.975,1.410,39,1,0,0,0,0
68,ARI,2019-06-11,@,PHI,L 4-7,40,34,4,8,5,2,0,1,4,0,0,5,6,.235,.325,.382,.707,13,0,0,0,1,0
69,ARI,2019-06-12,@,PHI,W 2-0,32,30,2,6,5,1,0,0,2,0,0,1,9,.200,.219,.233,.452,7,2,0,0,1,1
70,ARI,2019-06-13,@,WSN,W 5-0,35,32,5,7,3,2,0,2,5,0,0,3,4,.219,.286,.469,.754,15,2,0,0,0,0
71,ARI,2019-06-14,@,WSN,L 3-7,38,34,3,6,2,2,0,2,3,1,0,3,13,.176,.263,.412,.675,14,0,1,0,0,0
72,ARI,2019-06-15,@,WSN,W 10-3,45,40,10,15,6,3,1,5,10,0,0,4,7,.375,.422,.875,1.297,35,1,0,0,1,1
73,ARI,2019-06-16,@,WSN,L 5-15,42,38,5,11,8,2,0,1,5,0,0,1,6,.289,.333,.421,.754,16,0,2,0,1,0
74,ARI,2019-06-18,,COL,L 1-8,38,34,1,7,6,1,0,0,1,0,0,4,6,.206,.289,.235,.525,8,1,0,0,0,0
75,ARI,2019-06-19,,COL,L 4-6,39,36,4,10,9,0,0,1,4,2,0,2,7,.278,.333,.361,.694,13,2,1,0,0,0
76,ARI,2019-06-20,,COL,L 4-6 (10),48,37,4,10,6,3,0,1,4,1,0,8,14,.270,.404,.432,.837,16,1,1,1,1,1
77,ARI,2019-06-21,,SFG,L 5-11,40,35,5,10,6,2,1,1,5,1,0,3,9,.286,.359,.486,.845,17,1,1,1,0,0
78,ARI,2019-06-22,,SFG,L 4-7,39,34,4,8,7,1,0,0,2,2,0,5,8,.235,.333,.265,.598,9,0,0,0,0,0
79,ARI,2019-06-23,,SFG,W 3-2 (10),37,33,3,7,6,1,0,0,3,0,0,3,4,.212,.278,.242,.520,8,0,0,1,0,1
80,ARI,2019-06-24,,LAD,W 8-5,37,33,8,11,9,0,0,2,8,1,0,3,5,.333,.378,.515,.894,17,1,0,0,1,0
81,ARI,2019-06-25,,LAD,L 2-3,35,33,2,6,4,2,0,0,2,1,0,2,9,.182,.229,.242,.471,8,0,0,0,0,0
82,ARI,2019-06-26,,LAD,W 8-2,37,35,8,9,5,3,0,1,8,4,0,1,8,.257,.270,.429,.699,15,0,0,0,1,0
83,ARI,2019-06-27,@,SFG,W 5-1,37,33,5,8,3,3,0,2,5,0,0,4,6,.242,.324,.515,.839,17,2,0,0,0,0
84,ARI,2019-06-28,@,SFG,L 3-6,40,38,3,11,8,3,0,0,3,0,0,2,6,.289,.325,.368,.693,14,0,0,0,0,0
85,ARI,2019-06-29,@,SFG,W 4-3,41,36,4,11,9,2,0,0,3,0,0,3,8,.306,.375,.361,.736,13,2,1,1,0,0
86,ARI,2019-06-30,@,SFG,L 4-10,37,34,4,8,6,1,1,0,4,0,0,2,11,.235,.270,.324,.594,11,0,0,0,1,0
87,ARI,2019-07-02,@,LAD,L 4-5,39,34,4,8,6,1,0,1,4,0,0,4,10,.235,.333,.353,.686,12,1,1,0,0,1
88,ARI,2019-07-03,@,LAD,L 4-5 (10),40,40,4,10,7,1,0,2,4,0,0,0,11,.250,.250,.425,.675,17,0,0,0,0,0
89,ARI,2019-07-05,,COL,W 8-0,35,30,8,9,6,1,0,2,8,1,0,4,4,.300,.371,.533,.905,16,2,0,0,1,0
90,ARI,2019-07-06,,COL,W 4-2,38,35,4,13,10,2,0,1,4,1,0,3,6,.371,.421,.514,.935,18,2,0,0,0,1
91,ARI,2019-07-07,,COL,W 5-3,34,33,5,8,4,2,1,1,5,0,0,1,7,.242,.265,.455,.719,15,0,0,0,0,0
92,ARI,2019-07-12,@,STL,W 4-2,34,31,4,6,2,1,0,3,4,0,0,1,8,.194,.265,.516,.781,16,2,2,0,0,0
93,ARI,2019-07-13,@,STL,L 2-4,37,31,2,4,2,1,0,1,2,0,0,5,10,.129,.270,.258,.528,8,0,1,0,0,0
94,ARI,2019-07-14,@,STL,L 2-5,39,34,2,8,7,1,0,0,2,0,0,4,10,.235,.333,.265,.598,9,1,1,0,0,0
95,ARI,2019-07-16,@,TEX,W 9-2,40,37,9,10,6,2,1,1,7,2,0,2,10,.270,.300,.459,.759,17,0,0,0,1,0
96,ARI,2019-07-17,@,TEX,W 19-4,59,47,19,21,11,5,0,5,19,0,0,8,9,.447,.542,.872,1.415,41,0,3,0,1,0
97,ARI,2019-07-18,,MIL,L 1-5,34,31,1,7,7,0,0,0,1,2,0,3,1,.226,.294,.226,.520,7,3,0,0,0,0
98,ARI,2019-07-19,,MIL,W 10-7,41,32,10,10,3,4,1,2,9,0,0,8,7,.313,.439,.688,1.127,22,2,0,0,1,1
99,ARI,2019-07-20,,MIL,L 3-8,35,31,3,6,2,3,1,0,3,0,0,3,11,.194,.265,.355,.620,11,1,0,1,0,0
100,ARI,2019-07-21,,MIL,L 4-7,40,34,4,9,6,2,0,1,4,1,0,5,11,.265,.350,.412,.762,14,1,0,0,1,1
101,ARI,2019-07-22,,BAL,W 6-3,40,36,6,12,7,3,2,0,6,1,0,4,6,.333,.400,.528,.928,19,0,0,0,0,0
102,ARI,2019-07-23,,BAL,L 2-7,32,29,2,5,5,0,0,0,2,1,0,3,7,.172,.250,.172,.422,5,2,0,0,0,0
103,ARI,2019-07-24,,BAL,W 5-2,43,36,5,11,9,0,0,2,5,1,0,7,8,.306,.419,.472,.891,17,1,0,0,0,1
104,ARI,2019-07-26,@,MIA,L 2-3,35,31,2,6,4,1,1,0,2,1,1,4,8,.194,.286,.290,.576,9,1,0,0,0,0
105,ARI,2019-07-27,@,MIA,W 9-2,38,33,9,7,3,2,0,2,9,0,0,3,7,.212,.316,.455,.770,15,1,2,0,0,0
106,ARI,2019-07-28,@,MIA,L 1-5,35,29,1,4,4,0,0,0,0,1,0,6,9,.138,.286,.138,.424,4,1,0,0,0,0
107,ARI,2019-07-29,@,MIA,L 6-11,39,34,6,7,3,2,0,2,6,0,0,3,10,.206,.308,.441,.749,15,0,2,0,0,1
108,ARI,2019-07-30,@,NYY,W 4-2,38,36,4,11,8,1,0,2,4,0,0,1,2,.306,.316,.500,.816,18,1,0,0,1,0
109,ARI,2019-07-31,@,NYY,L 5-7,42,35,5,9,6,2,0,1,4,0,0,6,9,.257,.357,.400,.757,14,0,0,0,1,0
110,ARI,2019-08-02,,WSN,L 0-3,32,27,0,1,1,0,0,0,0,0,0,5,8,.037,.188,.037,.225,1,1,0,0,0,0
111,ARI,2019-08-03,,WSN,W 18-7,50,39,18,15,7,2,1,5,18,0,0,11,11,.385,.520,.872,1.392,34,1,0,0,0,0
112,ARI,2019-08-04,,WSN,W 7-5,37,32,7,9,5,3,0,1,7,2,0,4,7,.281,.378,.469,.847,15,1,1,0,0,0
113,ARI,2019-08-05,,PHI,L 3-7,35,32,3,9,6,2,1,0,3,0,0,2,5,.281,.314,.406,.721,13,3,0,0,1,0
114,ARI,2019-08-06,,PHI,W 8-4,38,34,8,12,8,1,0,3,8,0,1,4,9,.353,.421,.647,1.068,22,0,0,0,0,0
115,ARI,2019-08-07,,PHI,W 6-1,39,28,6,8,8,0,0,0,5,2,0,5,2,.286,.432,.286,.718,8,1,3,2,1,2
116,ARI,2019-08-09,@,LAD,W 3-2 (11),48,43,3,12,10,0,0,2,3,2,0,4,14,.279,.354,.419,.773,18,1,1,0,0,0
117,ARI,2019-08-10,@,LAD,L 0-4,31,30,0,4,4,0,0,0,0,1,1,1,6,.133,.161,.133,.295,4,0,0,0,0,0
118,ARI,2019-08-11,@,LAD,L 3-9,37,34,3,9,7,0,0,2,3,0,0,1,8,.265,.306,.441,.747,15,1,1,1,0,0
119,ARI,2019-08-12,@,COL,W 8-6,41,36,8,11,6,2,0,3,8,1,1,5,3,.306,.390,.611,1.001,22,1,0,0,0,1
120,ARI,2019-08-13,@,COL,W 9-3,41,36,9,11,6,0,1,4,9,0,1,5,9,.306,.390,.694,1.085,25,0,0,0,0,1
121,ARI,2019-08-14,@,COL,L 6-7,39,37,6,12,7,3,0,2,6,0,0,2,8,.324,.359,.568,.927,21,2,0,0,0,0
122,ARI,2019-08-15,,SFG,L 0-7,31,30,0,3,3,0,0,0,0,0,0,1,5,.100,.129,.100,.229,3,0,0,0,0,0
123,ARI,2019-08-16,,SFG,L 9-10 (11),49,46,9,13,5,2,0,6,9,0,0,3,9,.283,.327,.717,1.044,33,0,0,0,0,0
124,ARI,2019-08-17,,SFG,L 6-11,39,36,6,12,8,2,0,2,5,0,0,2,8,.333,.359,.556,.915,20,2,0,0,1,0
125,ARI,2019-08-18,,SFG,W 6-1,37,32,6,8,4,1,1,2,6,2,0,5,10,.250,.351,.531,.883,17,0,0,0,0,0
126,ARI,2019-08-19,,COL,W 5-3,32,30,5,6,2,1,1,2,5,1,0,2,4,.200,.250,.500,.750,15,0,0,0,0,0
127,ARI,2019-08-20,,COL,W 8-7,38,33,8,9,6,1,1,1,8,0,1,4,6,.273,.342,.455,.797,15,0,0,0,1,1
128,ARI,2019-08-21,,COL,L 2-7,34,31,2,4,1,1,0,2,2,0,0,3,6,.129,.206,.355,.561,11,0,0,0,0,0
129,ARI,2019-08-23,@,MIL,L 1-6,31,28,1,2,2,0,0,0,1,0,0,3,8,.071,.161,.071,.233,2,1,0,0,0,0
130,ARI,2019-08-24,@,MIL,L 0-4,34,30,0,4,2,2,0,0,0,0,0,3,10,.133,.212,.200,.412,6,0,0,1,0,0
131,ARI,2019-08-25,@,MIL,W 5-2,40,36,5,9,5,2,0,2,4,2,0,4,11,.250,.325,.472,.797,17,1,0,0,0,0
132,ARI,2019-08-26,@,SFG,W 6-4,40,38,6,11,10,0,0,1,4,0,0,2,5,.289,.325,.368,.693,14,1,0,0,0,0
133,ARI,2019-08-27,@,SFG,W 3-2,39,34,3,7,6,0,0,1,3,1,0,4,6,.206,.308,.294,.602,10,0,1,0,0,0
134,ARI,2019-08-29,,LAD,W 11-5,43,38,11,16,10,5,0,1,11,0,0,2,6,.421,.463,.632,1.095,24,0,1,2,0,1
135,ARI,2019-08-30,,LAD,W 5-4,36,33,5,8,3,2,1,2,4,2,0,3,12,.242,.306,.545,.851,18,0,0,0,0,0
136,ARI,2019-08-31,,LAD,W 6-5,33,29,6,6,1,2,0,3,6,0,0,2,10,.207,.281,.586,.867,17,1,1,1,0,0
137,ARI,2019-09-01,,LAD,L 3-4 (11),40,38,3,8,7,1,0,0,3,0,0,2,10,.211,.250,.237,.487,9,3,0,0,0,1
138,ARI,2019-09-02,,SDP,W 14-7,46,43,14,18,10,4,0,4,13,0,0,2,9,.419,.457,.791,1.247,34,0,1,0,0,0
139,ARI,2019-09-03,,SDP,W 2-1,35,31,2,7,4,2,1,0,2,0,0,4,6,.226,.314,.355,.669,11,0,0,0,0,1
140,ARI,2019-09-04,,SDP,W 4-1,37,32,4,9,8,0,0,1,4,0,1,4,9,.281,.378,.375,.753,12,0,1,0,0,0
141,ARI,2019-09-06,@,CIN,W 7-5,42,37,7,12,6,4,0,2,7,1,0,4,9,.324,.390,.595,.985,22,1,0,1,0,0
142,ARI,2019-09-07,@,CIN,W 2-0,37,32,2,4,3,1,0,0,2,2,0,5,14,.125,.243,.156,.399,5,1,0,0,0,0
143,ARI,2019-09-08,@,CIN,L 3-4,37,30,3,3,1,1,0,1,3,1,0,6,6,.100,.270,.233,.504,7,1,1,0,0,1
144,ARI,2019-09-09,@,NYM,L 1-3,30,29,1,3,2,0,0,1,1,1,0,1,15,.103,.133,.207,.340,6,1,0,0,0,0
145,ARI,2019-09-10,@,NYM,L 2-3,38,35,2,10,8,1,0,1,2,2,0,3,8,.286,.342,.400,.742,14,2,0,0,0,0
146,ARI,2019-09-11,@,NYM,L 0-9,38,33,0,7,5,2,0,0,0,0,0,4,9,.212,.316,.273,.589,9,1,1,0,0,0
147,ARI,2019-09-12,@,NYM,L 1-11,37,31,1,4,2,2,0,0,1,0,0,5,7,.129,.270,.194,.464,6,0,1,0,0,0
148,ARI,2019-09-13,,CIN,L 3-4,38,33,3,7,5,2,0,0,3,1,0,4,5,.212,.289,.273,.562,9,0,0,0,1,0
149,ARI,2019-09-14,,CIN,W 1-0,25,24,1,1,0,1,0,0,1,0,0,0,6,.042,.040,.083,.123,2,0,0,0,1,0
150,ARI,2019-09-15,,CIN,L 1-3,32,30,1,4,4,0,0,0,1,0,0,1,11,.133,.161,.133,.295,4,1,0,1,0,0
151,ARI,2019-09-16,,MIA,W 7-5,38,32,7,9,6,2,0,1,7,1,0,3,8,.281,.395,.438,.832,14,1,3,0,0,0
152,ARI,2019-09-17,,MIA,L 6-12,41,38,6,13,7,4,1,1,6,0,0,2,7,.342,.390,.579,.969,22,0,1,0,0,0
153,ARI,2019-09-18,,MIA,W 5-4,36,33,5,9,5,1,1,2,5,0,0,2,5,.273,.314,.545,.860,18,0,0,1,0,0
154,ARI,2019-09-20,@,SDP,W 9-0,45,36,9,7,5,2,0,0,9,1,0,7,13,.194,.341,.250,.591,9,0,1,1,0,0
155,ARI,2019-09-21,@,SDP,W 4-2,36,34,4,8,4,3,1,0,4,1,0,1,9,.235,.250,.382,.632,13,0,0,0,1,0
156,ARI,2019-09-22,@,SDP,L 4-6 (10),42,37,4,8,4,2,1,1,4,0,0,4,10,.216,.293,.405,.698,15,0,0,1,0,0
157,ARI,2019-09-23,,STL,L 7-9,39,35,7,11,8,1,0,2,7,0,0,3,10,.314,.359,.514,.873,18,2,0,0,1,0
158,ARI,2019-09-24,,STL,W 3-2 (19),74,65,3,13,10,1,1,1,3,0,1,9,23,.200,.297,.292,.590,19,2,0,0,0,3
159,ARI,2019-09-25,,STL,W 9-7,40,33,9,8,4,3,0,1,7,1,0,7,10,.242,.375,.424,.799,14,0,0,0,0,0
160,ARI,2019-09-27,,SDP,W 6-3,39,32,6,6,3,2,0,1,5,0,0,5,8,.188,.333,.344,.677,11,0,2,0,0,0
161,ARI,2019-09-28,,SDP,W 6-5,35,28,6,5,1,2,0,2,6,0,0,7,6,.179,.343,.464,.807,13,1,0,0,0,0
162,ARI,2019-09-29,,SDP,W 1-0,33,32,1,7,5,2,0,0,1,0,0,1,8,.219,.242,.281,.524,9,1,0,0,0,0

1,ATL,2019-03-28,@,PHI,L 4-10,36,30,4,7,5,1,0,1,4,1,1,6,9,.233,.361,.367,.728,11,1,0,0,0,0
2,ATL,2019-03-30,@,PHI,L 6-8,40,36,6,10,5,2,1,2,6,1,0,4,9,.278,.350,.556,.906,20,1,0,0,0,0
3,ATL,2019-03-31,@,PHI,L 1-5,36,29,1,4,4,0,0,0,0,1,2,6,8,.138,.306,.138,.443,4,0,1,0,0,0
4,ATL,2019-04-01,,CHC,W 8-0,43,36,8,12,7,3,0,2,6,0,0,7,9,.333,.442,.583,1.025,21,1,0,0,0,1
5,ATL,2019-04-03,,CHC,W 6-4,39,30,6,8,5,1,0,2,6,1,0,8,8,.267,.410,.500,.910,15,1,0,0,1,0
6,ATL,2019-04-04,,CHC,W 9-4,42,34,9,13,9,4,0,0,8,0,1,6,6,.382,.463,.500,.963,17,1,0,0,1,1
7,ATL,2019-04-05,,MIA,W 4-0,34,31,4,7,5,0,0,2,4,0,0,2,8,.226,.294,.419,.713,13,0,1,0,0,0
8,ATL,2019-04-06,,MIA,L 2-4,43,34,2,6,4,2,0,0,2,0,0,8,7,.176,.349,.235,.584,8,1,1,0,0,2
9,ATL,2019-04-07,,MIA,W 4-3,33,29,4,7,4,1,0,2,4,0,0,3,8,.241,.313,.483,.795,14,1,0,0,0,0
10,ATL,2019-04-08,@,COL,W 8-6,42,34,8,9,7,0,1,1,7,0,0,6,8,.265,.381,.412,.793,14,1,1,0,1,1
11,ATL,2019-04-09,@,COL,W 7-1,38,37,7,12,7,3,0,2,7,0,0,0,5,.324,.324,.568,.892,21,0,0,1,0,0
12,ATL,2019-04-11,,NYM,L 3-6,39,36,3,9,4,2,1,2,3,1,0,3,14,.250,.308,.528,.835,19,0,0,0,0,0
13,ATL,2019-04-12,,NYM,L 2-6,37,33,2,7,5,2,0,0,2,0,0,3,10,.212,.270,.273,.543,9,0,0,0,1,0
14,ATL,2019-04-13,,NYM,W 11-7,42,35,11,13,9,2,0,2,11,0,0,7,7,.371,.476,.600,1.076,21,2,0,0,0,0
15,ATL,2019-04-14,,NYM,W 7-3,41,33,7,10,5,1,1,3,7,3,0,8,12,.303,.439,.667,1.106,22,1,0,0,0,0
16,ATL,2019-04-16,,ARI,L 6-9,39,33,6,10,4,4,0,2,6,0,1,5,8,.303,.395,.606,1.001,20,1,0,1,0,1
17,ATL,2019-04-17,,ARI,L 2-3 (10),41,36,2,7,5,2,0,0,2,0,0,4,10,.194,.275,.250,.525,9,1,0,0,0,0
18,ATL,2019-04-18,,ARI,L 1-4,37,34,1,7,6,0,0,1,1,0,0,1,16,.206,.270,.294,.564,10,0,2,0,0,0
19,ATL,2019-04-20 (1),@,CLE,L 4-8,36,32,4,6,3,1,0,2,4,0,0,2,9,.188,.250,.406,.656,13,0,1,0,1,0
20,ATL,2019-04-20 (2),@,CLE,W 8-7,42,35,8,9,5,2,1,1,8,0,1,7,13,.257,.381,.457,.838,16,0,0,0,0,0
21,ATL,2019-04-21,@,CLE,W 11-5,48,44,11,17,10,5,0,2,11,0,0,3,7,.386,.438,.636,1.074,28,0,1,0,0,0
22,ATL,2019-04-23,@,CIN,L 6-7,39,36,6,10,5,4,1,0,6,2,0,1,14,.278,.282,.444,.726,16,0,0,0,2,0
